# JD   5-sigma-depth
6.028725300845057063e+04 2.332140623388469081e+01
6.029329502745145874e+04 2.332965408998248691e+01
6.030225732597298338e+04 2.348407161975593382e+01
6.030324189793722326e+04 2.308018519801671076e+01
6.032233332523852732e+04 2.400829175806154936e+01
6.032632239982515603e+04 2.403275376202115865e+01
6.033121549509390024e+04 2.365427261730777531e+01
6.033932661904046108e+04 2.273451421512887904e+01
6.035028996572633332e+04 2.385268865730505894e+01
6.035029041430092184e+04 2.387472639678152575e+01
6.035923549962440302e+04 2.394953408310858833e+01
6.036621979709563311e+04 2.290391338416366196e+01
6.036921388021955499e+04 2.322046736821932100e+01
6.037827546225739206e+04 2.354466693059213611e+01
6.038416486286567670e+04 2.410269951178694825e+01
6.038421730927874887e+04 2.378810462439717810e+01
6.039598808327175357e+04 2.308842125837405490e+01
6.040597788255802152e+04 2.356115725051356335e+01
6.041112308041063807e+04 2.373569556289815452e+01
6.041308681635442917e+04 2.366486535347549847e+01
6.041907830884352006e+04 2.345429118092205556e+01
6.043206911302485241e+04 2.391381734189829444e+01
6.043705033694506710e+04 2.375257633725168205e+01
6.044802458285222383e+04 2.291114391651228743e+01
6.045003665422287304e+04 2.289404164295507371e+01
6.045003844848155131e+04 2.298734897513831044e+01
6.068134871234429011e+04 2.400652154822615714e+01
6.069233164381581446e+04 2.272467965469566664e+01
6.072723606777328678e+04 2.377989392712220962e+01
6.075502549055829877e+04 2.365014650318969558e+01
6.075502923866665515e+04 2.359220083691378278e+01
6.076617734133493650e+04 2.365011139550107089e+01
6.076716007231500407e+04 2.382302601917307783e+01
6.078009878559484787e+04 2.314953997222147208e+01
6.107633607004369696e+04 2.308293129536970767e+01
6.109510633711473929e+04 2.388291938599186537e+01
6.110622118927997508e+04 2.320488732258715459e+01
6.112102789081482479e+04 2.411321885892317241e+01
6.112315430754346744e+04 2.398182905432225098e+01
6.137231068934755604e+04 2.322509927034912636e+01
6.137231836626080621e+04 2.334435562753860083e+01
6.138228453252140753e+04 2.365446277131196240e+01
6.138430825912114960e+04 2.376725652285185220e+01
6.138931213691621087e+04 2.374974635090710251e+01
6.139026137324549200e+04 2.374829307202102768e+01
6.140526527127957524e+04 2.374039502016755421e+01
6.140526572475793364e+04 2.371827389977595857e+01
6.140834426396550407e+04 2.378508149280554562e+01
6.141135178175140027e+04 2.307742133467337808e+01
6.141436058949071594e+04 2.370037568815858720e+01
6.142035050990181480e+04 2.337653569136226395e+01
6.142332978182072839e+04 2.396911633417699505e+01
6.142532817452023301e+04 2.393488367247123350e+01
6.144212210916999175e+04 2.366318866060575488e+01
6.144212300977954146e+04 2.363987667415645788e+01
6.144829645651527244e+04 2.377480182017853849e+01
6.145322994191383623e+04 2.388775245021705729e+01
6.146425249262843136e+04 2.394922701863604431e+01
6.146427603056538646e+04 2.355585078415294831e+01
6.146628147226983856e+04 2.323736012797235162e+01
6.146628191850635631e+04 2.323937109530650957e+01
6.147204921820450545e+04 2.373704592681439962e+01
6.147800995593240805e+04 2.342290754183775192e+01
6.147801535214380419e+04 2.342053647386879689e+01
6.148001409057608544e+04 2.369111277496941881e+01
6.148700175035888969e+04 2.257275970371013685e+01
6.149321842779126018e+04 2.329226413596545697e+01
6.149321887577931921e+04 2.333951181226789373e+01
6.150417047289548645e+04 2.370994301262546955e+01
6.150417137067209842e+04 2.381197663889780713e+01
6.152205442778862198e+04 2.397776819115911096e+01
6.152411603956386534e+04 2.342438908645963025e+01
6.153304316352945170e+04 2.402000255041203047e+01
6.153309091627085581e+04 2.391410753758254160e+01
6.153409503663156647e+04 2.384235848697220916e+01
6.154699529184356652e+04 2.332866322359197753e+01
6.155205410156616563e+04 2.330450350232458945e+01
6.156201626047737955e+04 2.308772103279473953e+01
6.179735104277250502e+04 2.373050197758878355e+01
6.181305633249449602e+04 2.240904392549918001e+01
6.186214157827499002e+04 2.353198810404227714e+01
6.189105070714990870e+04 2.369777606885102728e+01
6.211928276568741421e+04 2.360135479020497229e+01
6.212522731360569014e+04 2.380539226301624822e+01
6.215135586335832340e+04 2.334031764473561665e+01
6.215135631332975026e+04 2.331007938950176595e+01
6.215333202374566463e+04 2.358183993293388170e+01
6.215437078732509690e+04 2.295191221830346961e+01
6.215534862489758234e+04 2.358443749259503974e+01
6.215733295278793230e+04 2.383345056637690007e+01
6.216727992433077452e+04 2.250425810930480353e+01
6.216931753824569023e+04 2.271528473809562243e+01
6.216931798694826284e+04 2.273462839226517573e+01
6.217029856435998954e+04 2.341966424965393401e+01
6.218129620191880531e+04 2.353729384208905984e+01
6.218922732739708590e+04 2.375312657211409118e+01
6.218930203846590302e+04 2.335487210844422989e+01
6.219022105760793056e+04 2.352104238876403031e+01
6.219125616889871162e+04 2.290221891337325033e+01
6.219822161996820068e+04 2.311581915185696801e+01
6.219903056664612814e+04 2.363797292186900023e+01
6.219904985203786055e+04 2.309840478754244586e+01
6.220799922130532650e+04 2.319855843354264380e+01
6.220804415945378423e+04 2.374628521114098945e+01
6.221617170713863015e+04 2.398668814310077479e+01
6.222700757989302656e+04 2.345541787099433506e+01
6.223211720272240927e+04 2.360890317641633374e+01
6.223211817728256574e+04 2.351515765895742049e+01
6.224214819833248475e+04 2.321036855719398417e+01
6.224214864741956262e+04 2.325557954566293972e+01
6.226206000297924766e+04 2.354180517829261277e+01
6.229198365523926623e+04 2.314249946961524529e+01
6.251635601626941207e+04 2.348650775239159216e+01
6.251635736999487563e+04 2.349873467506676050e+01
6.252632955325582589e+04 2.284041994341264825e+01
6.257421531906737073e+04 2.369554137469373600e+01
6.258499064407693368e+04 2.280087489771121056e+01
6.262010824113156559e+04 2.350625252841491175e+01
6.262905817786261468e+04 2.328275461657649004e+01
6.262906002124410588e+04 2.313279154631534240e+01
6.284924147773099685e+04 2.282668553583703996e+01
6.285423667232099251e+04 2.333902957938213518e+01
6.285424878465777147e+04 2.332982843899040759e+01
6.287135111325890466e+04 2.379389069991766803e+01
6.288033891104112990e+04 2.361446837651459774e+01
6.288034815037688531e+04 2.327699586033564216e+01
6.288733944372899714e+04 2.242641793711921849e+01
6.289232061166072526e+04 2.382493652468989254e+01
6.290014494080685836e+04 2.352234163686558688e+01
6.290930874834130373e+04 2.345868169230017486e+01
6.291330024252992007e+04 2.376676049274367486e+01
6.291825868714888202e+04 2.371373312637216912e+01
6.292603312206590635e+04 2.373591198860204798e+01
6.293204473712309846e+04 2.278368569664509735e+01
6.293517784779959038e+04 2.303851536006683887e+01
6.293517922363113030e+04 2.297507397552200104e+01
6.293901065596433909e+04 2.390969073018385771e+01
6.293901110227252502e+04 2.396397459959338860e+01
6.293901649891385750e+04 2.395200480462863268e+01
6.295018222246415826e+04 2.378687330104285991e+01
6.295018493384641624e+04 2.382316157701481529e+01
6.295514129670483089e+04 2.372133379549818244e+01
6.296315921676678408e+04 2.270754746571690319e+01
6.298414540670965653e+04 2.336312454519143245e+01
6.298503011586500361e+04 2.363149504349369323e+01
6.298511724630615936e+04 2.334753405902760903e+01
6.298615029213098023e+04 2.285984574752116671e+01
6.299605064824176952e+04 2.357246492890620004e+01
