# JD   5-sigma-depth
6.024301473847205489e+04 2.285115797979959140e+01
6.024702762332283601e+04 2.304809561352380598e+01
6.047643863621215860e+04 2.240590196627479358e+01
6.047818718674290722e+04 2.252058406393513934e+01
6.048635296031614416e+04 2.269552102501008761e+01
6.048743098419164016e+04 2.208004192334836446e+01
6.054010548401533742e+04 2.274082111886381341e+01
6.054010594512498210e+04 2.272894808521883547e+01
6.054017693536527804e+04 2.261085195354595712e+01
6.054017828559177724e+04 2.267385141462232667e+01
6.054327277711141505e+04 2.261137510698318209e+01
6.054805145471747528e+04 2.292698132487520013e+01
6.054812958549728501e+04 2.325599403004992993e+01
6.056310846986019169e+04 2.289794112372833368e+01
6.056310893411568395e+04 2.290911141938731888e+01
6.056602444738026679e+04 2.268636335030259943e+01
6.057304826798200520e+04 2.303071063497753457e+01
6.057313077827850793e+04 2.268673361051323312e+01
6.060099654827338236e+04 2.308979023402327613e+01
6.060104855656954896e+04 2.308508384184678874e+01
6.060400515606752015e+04 2.319261255811816724e+01
6.087020445599478990e+04 2.218939488692517870e+01
6.087021453534606553e+04 2.230148197988299330e+01
6.090103846244473971e+04 2.289884834161769334e+01
6.092097557973417133e+04 2.208246056867250218e+01
6.118930577306938358e+04 2.275329010844591693e+01
6.119438743359424552e+04 2.247556724800847761e+01
6.119535922580408078e+04 2.258935780709574814e+01
6.121615334491762769e+04 2.267377566556356783e+01
6.122438443337196804e+04 2.260017651117294690e+01
6.122642053286231385e+04 2.246087012660695592e+01
6.124313525198893331e+04 2.307586203587914753e+01
6.124313710095191345e+04 2.320129993463721974e+01
6.124316005703662813e+04 2.308723334214547762e+01
6.125332104494181840e+04 2.235815629546392103e+01
6.127303875370227615e+04 2.307743982238583769e+01
6.127313246409137355e+04 2.306727569611201289e+01
6.130109992486556439e+04 2.300622347163409387e+01
6.130110503414257255e+04 2.301342547278674999e+01
6.130202909047033609e+04 2.244423009444845007e+01
6.130918378261744510e+04 2.254951972312996133e+01
6.131701227452628518e+04 2.274800022118498077e+01
6.133103375397172931e+04 2.215378435782685074e+01
6.133906836709263007e+04 2.220881004874692977e+01
6.148740763716810034e+04 2.232710461562830062e+01
6.151836657577835285e+04 2.262221806931990642e+01
6.153933418930685002e+04 2.333302317108245205e+01
6.163326043522286636e+04 2.211108233972245785e+01
6.190029160915036482e+04 2.213437457125817431e+01
6.190029205976970115e+04 2.215333769646185402e+01
6.190129221539229184e+04 2.259730148122805105e+01
6.190533899467340234e+04 2.294182253230217583e+01
6.192640045394409390e+04 2.255616063912155411e+01
6.193743078450215398e+04 2.248465263816706639e+01
6.193743123102102254e+04 2.247293990198942026e+01
6.195416759561104845e+04 2.265475361537165000e+01
6.195418269325327128e+04 2.271482280192990544e+01
6.195418359585734288e+04 2.272628158826975309e+01
6.195827948991201265e+04 2.203441956529545109e+01
6.196426575795133976e+04 2.275760893284171260e+01
6.198405794694820361e+04 2.249286158518523848e+01
6.198407794518312585e+04 2.265625981651566789e+01
6.198927594260031765e+04 2.242146398831808440e+01
6.199018997691530240e+04 2.259155923678248357e+01
6.199112907636344607e+04 2.248358365553643523e+01
6.199120287193990953e+04 2.233168491648201837e+01
6.199120333093260706e+04 2.233724740999147329e+01
6.199321185638741008e+04 2.231886572487922393e+01
6.200915831558049831e+04 2.289036968710219000e+01
6.201612325065980986e+04 2.242843877243512907e+01
6.202021447447617538e+04 2.265417447660555084e+01
6.202121336055579013e+04 2.271995291186689769e+01
6.203902600917458039e+04 2.263936145660554899e+01
6.204200772198890627e+04 2.283515132743265141e+01
6.204200818625281681e+04 2.282707887139876490e+01
6.204305276446176867e+04 2.257910633929956035e+01
6.204605534995492781e+04 2.262370368764685580e+01
6.204700827809640032e+04 2.240646743377064354e+01
6.204805656320332491e+04 2.297973863924275051e+01
6.207604335448432539e+04 2.260230510388169023e+01
6.222637187014491792e+04 2.251641634808542491e+01
6.222840894542094611e+04 2.282751222500244737e+01
6.223133985375947668e+04 2.262731021488707484e+01
6.223134030062965758e+04 2.267021979945867116e+01
6.225336134481347835e+04 2.263016341486842364e+01
6.263632879204280471e+04 2.248766004056076540e+01
6.263640373483467556e+04 2.275421980998483562e+01
6.264333097248190461e+04 2.241192431079446834e+01
6.267122309214846609e+04 2.191839923687654235e+01
6.267124706538089231e+04 2.209634785266487356e+01
6.267422678231650207e+04 2.265145218906656410e+01
6.269427085238090513e+04 2.285817225713877221e+01
6.269623340715840459e+04 2.213363633203625369e+01
6.269733617877052166e+04 2.196199806024471002e+01
6.269733709410638403e+04 2.195701373435185388e+01
6.269920764919323847e+04 2.271169900250166762e+01
6.270314133272686740e+04 2.272396683948983664e+01
6.270328607411005942e+04 2.327164964721865204e+01
6.272116523470271204e+04 2.280058046856971288e+01
6.272517567924698960e+04 2.274477821139586098e+01
6.272517659094804549e+04 2.274872459651518497e+01
6.273508530116805196e+04 2.327006217962934898e+01
