# JD   5-sigma-depth
6.022610105872664280e+04 2.486382135045727182e+01
6.022810855445667403e+04 2.461276186645839559e+01
6.023113905024453561e+04 2.418334998931420188e+01
6.023114088914982858e+04 2.433244551616380846e+01
6.023314340922724659e+04 2.452546005761144343e+01
6.052429306740267202e+04 2.446876096600184880e+01
6.055302254203081975e+04 2.477353222976395486e+01
6.055302571299695410e+04 2.477463517575818486e+01
6.055304942614722677e+04 2.477218015127260742e+01
6.055304987522828742e+04 2.476463309095624510e+01
6.057916024897494208e+04 2.488809910921574442e+01
6.088631190601669368e+04 2.419241644926053070e+01
6.090726748132508510e+04 2.411791203734067324e+01
6.093701091708213789e+04 2.501189258147730499e+01
6.126330926734607783e+04 2.428216112396837900e+01
6.126513792707229004e+04 2.434761766233049940e+01
6.129418402385233640e+04 2.480814973753755481e+01
6.131411123438584036e+04 2.455165606546052715e+01
6.155934786153551977e+04 2.466906303561142622e+01
6.156234636355829571e+04 2.444024693230266720e+01
6.161419240252150485e+04 2.418059020556625427e+01
6.161631689756305423e+04 2.434137073855812616e+01
6.162233297177558416e+04 2.407165284129835214e+01
6.162314444005829864e+04 2.450108045925238898e+01
6.162314578661812993e+04 2.455394336245658948e+01
6.197634997101913177e+04 2.386687559748073539e+01
6.200026406729198061e+04 2.425471866827730594e+01
6.200026545642690326e+04 2.431884098323904908e+01
6.200427193900851125e+04 2.457004754010573322e+01
6.200427328638524341e+04 2.453780027293229082e+01
6.202421255814725737e+04 2.401498470761984194e+01
6.202421300811546098e+04 2.399977289789515567e+01
6.202818161582632456e+04 2.422393604134317613e+01
6.202818252283358743e+04 2.419670616870005730e+01
6.227338065091542376e+04 2.438363632919623569e+01
6.267625555160764634e+04 2.416554326922147311e+01
6.270633562663907651e+04 2.388202436926495409e+01
6.270733321939026064e+04 2.408611738705045724e+01
6.270836201100242761e+04 2.402802916864489191e+01
6.273627586925115611e+04 2.461696953614866956e+01
6.275901825409256708e+04 2.469787709296545231e+01
6.275901870358617452e+04 2.472403857868128796e+01
6.277617931795678305e+04 2.388192004034536708e+01
6.277720170120547118e+04 2.395548253897930024e+01
6.279008112223313219e+04 2.426645736437034273e+01
6.279008159437151335e+04 2.427731420988633815e+01
6.279315839550201053e+04 2.407253580444944063e+01
6.300241172538639512e+04 2.469335069389721582e+01
6.300936283423827990e+04 2.455816488469922731e+01
6.300936423109344469e+04 2.456014232339257219e+01
6.306034571012514061e+04 2.373957401599926698e+01
6.307018201538184803e+04 2.464591265340512649e+01
6.310106528953856468e+04 2.432080552436000431e+01
6.311722577343272133e+04 2.433365883172091770e+01
6.311921193356247386e+04 2.452842801738594147e+01
6.313120949505865428e+04 2.424715777870089184e+01
6.336738422545387584e+04 2.457364654790726632e+01
6.341922549995763256e+04 2.419109398675261957e+01
6.341922919373138575e+04 2.408384820276772231e+01
6.346699963685458351e+04 2.317888407458211475e+01
6.346700098071704997e+04 2.319138012244143709e+01
6.350214319828362204e+04 2.484569151585252911e+01
6.372733540916419588e+04 2.441809005243336017e+01
6.374834754334228637e+04 2.459181066785433600e+01
6.374834801242415415e+04 2.457671691203563213e+01
6.374834940336032014e+04 2.459779600651843978e+01
6.377619018481704552e+04 2.405986994050937255e+01
6.379838956075961323e+04 2.386159774195896333e+01
6.379912345667988848e+04 2.402269533215983444e+01
6.380131610532138438e+04 2.434259845237263420e+01
6.380510677490860689e+04 2.422792318016146496e+01
6.386817555021320004e+04 2.447689330249531281e+01
