# JD   5-sigma-depth
6.037425042692026182e+04 2.364186701636498000e+01
6.037740692979370215e+04 2.358682568562564796e+01
6.037838871121026750e+04 2.426432002127254961e+01
6.037928830597858905e+04 2.430112731164793516e+01
6.038339995696070400e+04 2.431770194464478863e+01
6.040325587454599736e+04 2.405683804397541792e+01
6.040424401234650577e+04 2.435234915110823550e+01
6.040931120394151367e+04 2.409788047520807552e+01
6.040931166815245524e+04 2.409956058018212133e+01
6.043307943587929913e+04 2.402129237716436805e+01
6.043313336119262385e+04 2.421015703294132493e+01
6.043825645531008195e+04 2.437093284326761733e+01
6.044227103312388499e+04 2.404692951615902885e+01
6.046607512386237795e+04 2.380734771747018641e+01
6.049103014442612039e+04 2.426093472271976381e+01
6.052699665146633197e+04 2.416841939391249383e+01
6.052899387504039623e+04 2.390657683269921563e+01
6.053103729512100108e+04 2.413362289532016547e+01
6.073439790026422997e+04 2.369333157728524242e+01
6.073439831693089218e+04 2.367179735953021336e+01
6.073640122770085145e+04 2.389275988400185824e+01
6.073735208547682851e+04 2.408574759737274462e+01
6.073735255431215046e+04 2.409511500319922206e+01
6.076323565123446315e+04 2.407655652319705553e+01
6.076923134223480884e+04 2.447027574615056622e+01
6.082212028846719477e+04 2.412365352995105994e+01
6.082225313991204166e+04 2.396137117086574975e+01
6.082225358709404827e+04 2.390957375183319300e+01
6.084800039934089727e+04 2.381399060297465553e+01
6.084910454770630167e+04 2.379277710791550149e+01
6.087196723308890068e+04 2.398606537635350122e+01
6.088602690333768987e+04 2.379810906697211692e+01
6.090897288118694996e+04 2.374474307705336074e+01
6.108933187034270668e+04 2.438360249372108157e+01
6.111130024900013086e+04 2.409813944111457218e+01
6.111130071389444493e+04 2.410075826537303811e+01
6.111140544031386526e+04 2.365156811622014743e+01
6.111221304206432251e+04 2.401910555551116744e+01
6.111338199209717277e+04 2.424051251742366730e+01
6.111437019290083117e+04 2.404989567089497271e+01
6.111437064215155988e+04 2.406579221698513038e+01
