# JD   5-sigma-depth
6.031920832230486849e+04 2.497660363264625971e+01
6.032720132815008401e+04 2.504266122563628727e+01
6.034529521526070312e+04 2.456422583501955614e+01
6.037705605442520755e+04 2.453994721526505884e+01
6.039803127999193384e+04 2.408915394942187760e+01
6.041008536904229550e+04 2.455561577276634821e+01
6.041008628791738010e+04 2.456415954880842278e+01
6.043403881526456098e+04 2.454562584363815247e+01
6.043802223240395688e+04 2.493037223915286660e+01
6.070430213581720454e+04 2.481976519816130988e+01
6.073012052879750991e+04 2.463850703981011137e+01
6.076015332190919435e+04 2.486459979524479280e+01
6.106828434511492378e+04 2.479615335712167834e+01
6.110902422497203224e+04 2.504952727304463167e+01
6.143515490254064207e+04 2.469774047194355404e+01
6.143515626465723471e+04 2.459606081409877376e+01
6.143530504171337816e+04 2.421266137846598809e+01
6.143530550285873323e+04 2.430554080155826213e+01
6.144730028601363301e+04 2.447217792821822258e+01
6.146720699345772300e+04 2.466665095622992965e+01
6.147705498288869421e+04 2.477672606020442814e+01
6.150508514616639877e+04 2.457232916148048218e+01
6.152110896244442847e+04 2.334767114220313289e+01
6.179833648051970522e+04 2.463444735792490903e+01
6.180230199555314903e+04 2.450222018357917975e+01
6.180233740852218034e+04 2.433470394758763788e+01
6.182510644625787245e+04 2.500875463913793695e+01
6.182609528196247265e+04 2.466597534545358172e+01
6.216128311723282968e+04 2.473965136853193414e+01
6.217217955736031581e+04 2.410836822670117030e+01
6.217218060855176736e+04 2.408845094285604205e+01
6.217329842803213978e+04 2.418745470866446112e+01
6.217331546755025192e+04 2.402011832638022071e+01
6.217930853987217415e+04 2.452033127606227936e+01
6.219030510781149496e+04 2.405367360952519462e+01
6.221015514110123331e+04 2.462306399887439312e+01
6.221217978335911903e+04 2.453539994026450444e+01
6.221427455188528256e+04 2.372256151864653617e+01
6.252918336063989409e+04 2.450049425145304838e+01
6.253417627829572302e+04 2.478392423802853628e+01
6.256518661259866349e+04 2.436674055318890808e+01
6.259713751390793914e+04 2.441483740308408557e+01
6.285924787799156184e+04 2.478100237973083608e+01
6.286323752817513741e+04 2.421857565251156785e+01
6.286323797954736074e+04 2.421005539229767578e+01
6.286719688172206952e+04 2.437802563180733628e+01
6.291925192833726760e+04 2.450124790764890648e+01
6.294901608417795796e+04 2.422374861909732857e+01
6.296909428566049610e+04 2.479553436224426477e+01
6.297009886815092614e+04 2.464493220913544747e+01
6.297016967582730285e+04 2.325753729900050715e+01
6.297109983749021922e+04 2.443264738842234607e+01
6.297110078555336804e+04 2.444648769358677143e+01
6.297110124100486428e+04 2.446530580424311552e+01
6.298107745038063877e+04 2.461631685566953109e+01
6.298407393051350664e+04 2.461223616345807841e+01
6.300004355539050448e+04 2.484297683877303342e+01
6.323721680993136397e+04 2.450367169865608474e+01
6.324822111396637774e+04 2.458918505168827551e+01
6.324822216457041941e+04 2.463823776891049278e+01
6.326816455509918160e+04 2.402899089690250989e+01
6.327210145778271544e+04 2.459038479527800192e+01
6.327626811437967262e+04 2.507517527611959807e+01
6.330004847503836936e+04 2.473980468115360054e+01
6.330004892615736753e+04 2.477564472853867272e+01
6.330819757526781177e+04 2.428444967844756164e+01
6.330819940296842833e+04 2.415519716583951038e+01
6.333312177297979360e+04 2.431341082947172083e+01
6.359221468410629313e+04 2.447692426088540429e+01
6.359625914956648194e+04 2.465153555516646833e+01
6.362016942754029878e+04 2.435698789155264521e+01
6.371607908137994673e+04 2.500414507714211254e+01
6.371607952964073775e+04 2.500364950809907327e+01
