# JD   5-sigma-depth
6.022099485074020777e+04 2.394785343953646262e+01
6.022112895088711230e+04 2.401809140886680893e+01
6.022309852931007481e+04 2.364827967102529271e+01
6.022413013057576609e+04 2.355585531912332087e+01
6.025106313069038879e+04 2.388130259481197371e+01
6.047641530371779663e+04 2.353773132520784017e+01
6.047641621604699321e+04 2.355458588076924187e+01
6.048837793861884711e+04 2.247933545548061574e+01
6.048939785144806956e+04 2.304242675700437815e+01
6.048939875836591818e+04 2.305733977625539310e+01
6.050621216738130170e+04 2.256283069302723021e+01
6.052415058230061550e+04 2.350674123600423826e+01
6.052516295702645584e+04 2.372589841237164165e+01
6.053132673088910087e+04 2.342263310132587506e+01
6.054707115703699674e+04 2.378185988697855890e+01
6.057300587111035566e+04 2.350633798062787250e+01
6.057300631952270487e+04 2.348859904432607948e+01
6.059010454778877465e+04 2.382609127364510115e+01
6.060109684031088545e+04 2.343429258482516531e+01
6.060809686929434974e+04 2.371230698540408710e+01
6.062603035033632477e+04 2.278482636187364463e+01
6.085242906498414231e+04 2.362768044003314571e+01
6.091023765849308256e+04 2.377556952823260517e+01
6.091321347276322922e+04 2.379842512458930059e+01
6.093199427366227610e+04 2.352630045589083352e+01
6.121420697758682218e+04 2.333123856491708636e+01
6.121542527756108029e+04 2.363365659739684688e+01
6.121542573129735683e+04 2.361933589076971884e+01
6.122740776558571088e+04 2.296984530975108996e+01
6.122919370862740470e+04 2.364501704268977633e+01
6.122939592967597127e+04 2.369288084194606370e+01
6.123437802126278984e+04 2.338774913623681329e+01
6.123536536190781044e+04 2.342000192490212740e+01
6.124134483071862633e+04 2.386875949744663927e+01
6.124134528185702948e+04 2.373094269961360681e+01
6.124333600545863737e+04 2.401757145173215591e+01
6.124333645697974862e+04 2.399934909627872059e+01
6.125532997939285269e+04 2.290222656827003433e+01
6.125535292961519008e+04 2.299719034898271985e+01
6.126037334171746625e+04 2.306171778666677596e+01
6.127115807703603059e+04 2.397715741418488733e+01
6.129108226048802317e+04 2.339176073403394085e+01
6.129227169536804286e+04 2.336687321012239948e+01
6.129721290300225519e+04 2.359755196476319838e+01
6.130098615532852273e+04 2.341758702315214435e+01
6.130121261937214149e+04 2.350018102715225865e+01
6.130300711342319846e+04 2.344509720885456971e+01
6.130914648555283929e+04 2.280818998598640590e+01
6.131016128047693928e+04 2.257550690782013447e+01
6.131419485802465351e+04 2.307693905150486557e+01
6.132011156022502837e+04 2.417346615818836497e+01
6.132011202480745851e+04 2.416618195135344394e+01
6.134008272239594953e+04 2.335448907620493486e+01
6.134102420882536535e+04 2.400785795614854834e+01
6.134110489850447630e+04 2.336551546846730076e+01
6.134110534730208747e+04 2.332738418747637610e+01
6.134113127259143948e+04 2.312817551512665659e+01
6.134113216733806621e+04 2.307863569633847334e+01
6.134214127297056257e+04 2.249039331764180716e+01
6.134214261236246239e+04 2.246181140384839381e+01
6.134309317757235840e+04 2.375695240011194898e+01
6.135605878422104433e+04 2.359432449733064630e+01
6.135606012819164607e+04 2.351700130700547220e+01
6.135706655778789718e+04 2.352282714164196520e+01
6.135706745631367812e+04 2.347231386255501207e+01
6.135706790143860417e+04 2.347797391215836527e+01
6.152840420212070603e+04 2.322885260082185965e+01
6.152939861062070850e+04 2.361533743643978411e+01
6.166499615726223419e+04 2.313195774619829947e+01
6.193741115083693876e+04 2.326708029250572451e+01
6.193741161674994510e+04 2.327021674445367694e+01
6.193842887622598209e+04 2.328276511891981215e+01
6.193942470162230165e+04 2.382148125438797948e+01
6.194541867431578430e+04 2.340879118543477944e+01
6.195023356350506947e+04 2.353605015622873253e+01
6.195338452437147498e+04 2.343413229656569285e+01
6.196521241003123578e+04 2.305133964093122856e+01
6.196533107609323633e+04 2.319539807162769662e+01
6.198213242997440102e+04 2.349488445772758283e+01
6.199225264290257473e+04 2.288640468408667417e+01
6.199326639638590132e+04 2.272063048078447167e+01
6.199434445354459604e+04 2.268303956147268963e+01
6.201022266664138442e+04 2.382926641014718072e+01
6.201930405723370495e+04 2.190536610223258052e+01
6.202101221798663028e+04 2.352136252994175081e+01
6.202101400555942382e+04 2.347611409398366433e+01
6.202324152486316598e+04 2.286117297199833232e+01
6.202428668715040112e+04 2.302462316375188323e+01
6.203121899360922544e+04 2.365602337163570468e+01
6.204810944730672782e+04 2.315257674705330615e+01
6.205020034126512473e+04 2.253787846155402264e+01
6.206308670509731746e+04 2.344514580115171043e+01
6.206509547684014251e+04 2.349033155788546878e+01
6.207302810096082248e+04 2.286373660138248454e+01
6.207507569068176235e+04 2.295447278362137666e+01
6.208602292824489268e+04 2.317665707843986667e+01
6.208602384044486826e+04 2.312856566445175233e+01
6.208604365271909774e+04 2.337713386860473008e+01
6.208604455005002092e+04 2.325972879971936891e+01
6.208802378154363396e+04 2.344301498939337236e+01
6.208810883459747129e+04 2.313031104464774756e+01
6.240000427806433436e+04 2.241806422577885627e+01
6.240616758873537037e+04 2.287162946606837011e+01
6.267324903557827201e+04 2.231245402978167292e+01
6.267341411576561950e+04 2.271201668543917052e+01
6.267341501620392228e+04 2.269854267596361552e+01
6.267642158280264994e+04 2.332474708507513128e+01
6.269434879958599049e+04 2.312765215413059039e+01
6.270237641145442467e+04 2.246146748628815359e+01
6.270334924075171148e+04 2.280207075436741704e+01
6.270436149614252645e+04 2.282672908608691387e+01
6.270536183244807762e+04 2.327451745325332411e+01
6.271609808307961794e+04 2.335473173663255153e+01
6.271609853204419051e+04 2.348311622697274004e+01
6.272215618105301110e+04 2.345130418343035572e+01
6.272825531021867209e+04 2.280374513686925653e+01
6.273405842186930386e+04 2.363864444501235695e+01
6.273424428957010241e+04 2.371505109022562152e+01
6.273424522916817659e+04 2.368131649489306767e+01
6.273432754461872537e+04 2.294885801990904284e+01
6.273624966577081796e+04 2.386476489964699610e+01
6.273811784406976949e+04 2.406661571861183546e+01
6.274921433515421086e+04 2.349002891722072661e+01
6.275001298887425219e+04 2.278777621396069009e+01
6.275917918445768009e+04 2.350536464100541068e+01
6.276601010839713854e+04 2.372727020961582056e+01
6.276999499128680327e+04 2.354624586849513790e+01
6.276999544046981464e+04 2.353026934301798434e+01
6.277399644275227911e+04 2.324263084585066608e+01
6.278510389799978293e+04 2.245438864853878869e+01
6.279014070656178956e+04 2.328157079808407914e+01
6.279109716706971085e+04 2.324745887595868510e+01
6.279910091949064372e+04 2.320162406334165439e+01
6.281500909755536850e+04 2.314927764605910099e+01
6.281501003141036199e+04 2.317098259547234917e+01
6.281606295480866538e+04 2.314528577765000961e+01
6.282004294517001108e+04 2.331886492385593002e+01
6.282104338070764788e+04 2.310489211028336243e+01
6.303742641365906456e+04 2.377628905640586154e+01
6.303842056711979239e+04 2.322371910378732451e+01
6.303843016195164819e+04 2.301060474328880900e+01
6.304825359028790263e+04 2.325037621074980621e+01
6.307332573194613360e+04 2.338794264620688068e+01
6.307733229195247986e+04 2.320027721194028913e+01
6.307733273886247480e+04 2.317640187496315818e+01
6.310408304103566479e+04 2.352950523681581529e+01
6.311518563933205587e+04 2.307516690564487405e+01
6.311606703926956106e+04 2.361997268722436516e+01
6.312120364458438416e+04 2.293072179439937486e+01
6.312120501273041737e+04 2.282963349769296357e+01
6.312806678616284626e+04 2.381985573444248416e+01
6.314598716509917722e+04 2.277784943864646294e+01
6.314711090147214418e+04 2.332938550651103071e+01
6.314711134842877800e+04 2.330648589441580398e+01
6.315706408322694188e+04 2.396078267941415518e+01
6.317302988586384163e+04 2.402353378086754176e+01
6.340140037421552552e+04 2.377511819993334186e+01
6.341340098453722749e+04 2.299183497742340876e+01
6.341340143180450832e+04 2.296779634712586926e+01
6.341640557527862256e+04 2.344982237002541581e+01
6.342623461868101731e+04 2.417927824192011599e+01
6.346011678407619911e+04 2.365743821788623080e+01
6.346014191006860347e+04 2.376704447760001315e+01
6.346708328853816784e+04 2.196020636130857184e+01
6.348703402620287670e+04 2.356887187041122189e+01
6.348825937147004879e+04 2.352562583696287390e+01
6.349613654535104433e+04 2.298918891441523371e+01
6.349717927146956936e+04 2.291607425946541454e+01
6.352408479433930188e+04 2.302439239227777534e+01
6.352607556576035859e+04 2.334656729791562668e+01
6.352909203618216270e+04 2.365251606058560085e+01
6.352909248813697195e+04 2.381526726907034686e+01
6.370838414045574609e+04 2.285860859520952459e+01
6.371240502370290051e+04 2.322727588960519540e+01
6.371240547367843828e+04 2.324885690087620560e+01
6.371740315706309048e+04 2.369510823459532389e+01
6.372738357771399023e+04 2.371704753952568723e+01
6.372738452093905653e+04 2.368616399675477524e+01
6.376929110370782291e+04 2.383225523692613734e+01
6.376942273286142154e+04 2.338931099233759525e+01
6.377242302125487913e+04 2.354799321820448199e+01
6.378718582375661208e+04 2.275080098862662936e+01
6.379435857745963585e+04 2.282664498002090170e+01
6.379435902626466122e+04 2.278671515621656951e+01
6.381513598283765896e+04 2.342154296253993095e+01
6.381513643298265379e+04 2.301246566239126068e+01
6.382226149192429148e+04 2.267327435389634616e+01
6.382708850569979404e+04 2.382260934589969281e+01
6.382709126048931648e+04 2.382193121696502303e+01
6.383722071384188166e+04 2.381055953218440635e+01
6.384009215354490880e+04 2.378018327773392571e+01
6.385023817123121989e+04 2.230001084774772124e+01
6.385799403638186050e+04 2.253081715043712663e+01
