# JD   5-sigma-depth
6.021814335379804834e+04 2.164312121594718619e+01
6.021815771997416596e+04 2.146784885764629891e+01
6.021816584532854904e+04 2.144760611813067541e+01
6.021818018759861297e+04 2.076664702507837390e+01
6.022911978154763347e+04 2.231438110555112075e+01
6.022914188354610087e+04 2.215216360658467210e+01
6.022916478138262028e+04 2.189797168717971232e+01
6.024412832459842321e+04 2.182203841691321955e+01
6.048338746443304262e+04 2.195451975461691774e+01
6.048338945290842821e+04 2.192820250719662667e+01
6.048339778856491466e+04 2.214400882234275514e+01
6.048339972265783581e+04 2.211868278372973151e+01
6.050719548265855701e+04 2.186656987188679580e+01
6.050719643161672138e+04 2.205683912488231613e+01
6.051015927405940602e+04 2.152458716522449933e+01
6.051018225215504208e+04 2.134037115116056782e+01
6.053029359798283986e+04 2.212955136624704977e+01
6.053031620151217066e+04 2.222789713246916676e+01
6.054729478313320578e+04 2.204120960998385215e+01
6.054729522762331908e+04 2.206505502833438470e+01
6.057203817983077170e+04 2.213739974096550611e+01
6.057214002525658725e+04 2.240739140909799332e+01
6.057216314073679678e+04 2.229779370709339048e+01
6.059911004336872429e+04 2.217246040908118587e+01
6.059913266733082855e+04 2.193680865768167010e+01
6.078038391534373659e+04 2.204017379235815000e+01
6.080835452546744636e+04 2.231291957296207329e+01
6.091922756153227238e+04 2.244119631767965828e+01
6.091922801154221816e+04 2.247511150940095348e+01
6.091925059495090682e+04 2.241102304040211024e+01
6.091925104498081055e+04 2.245525315790273879e+01
6.092604784574697260e+04 2.197503475962997754e+01
6.092607080648341798e+04 2.206243427496948328e+01
6.122638155417868984e+04 2.206282030226626389e+01
6.122639951270008896e+04 2.195184585641481334e+01
6.122739193795025494e+04 2.167011865466995957e+01
6.122739335146435769e+04 2.163323027113533215e+01
6.123635945493930194e+04 2.191795432378973985e+01
6.123636172864391847e+04 2.187509542732593459e+01
6.123638216042866406e+04 2.216297400167457354e+01
6.123638441385447368e+04 2.201101351257799266e+01
6.124534115724206640e+04 2.229310473761190536e+01
6.124536371403131488e+04 2.219662053432389826e+01
6.125431050146729831e+04 2.209283556206156263e+01
6.125431146220608207e+04 2.208513321581526867e+01
6.125432089608914976e+04 2.196209832478400514e+01
6.125432134381051583e+04 2.196641018597348705e+01
6.125440098955162830e+04 2.131073972732179556e+01
6.125440143341330258e+04 2.132743482180809025e+01
6.127325918585623731e+04 2.237460034032218914e+01
6.127325963385085925e+04 2.234293037008956517e+01
6.129698593462923600e+04 2.201227795445081270e+01
6.129699533615458495e+04 2.218853569567315631e+01
6.130814755121577036e+04 2.184420578972719440e+01
6.130816998744985176e+04 2.179939121008778713e+01
6.130924193254706188e+04 2.179784737184834853e+01
6.130924238094505563e+04 2.172356482649266596e+01
6.133609665455656796e+04 2.213255357384536381e+01
6.133710097330278222e+04 2.236786435267573125e+01
6.133810140296757163e+04 2.177039764826250590e+01
6.133812766592617845e+04 2.193039071262053241e+01
6.133812811260714079e+04 2.188568997724855336e+01
6.133815025513700675e+04 2.169363748943395009e+01
6.133815070161111362e+04 2.163495128600207096e+01
