# JD   5-sigma-depth
6.022436548941480578e+04 2.375052962951581392e+01
6.022737781449503382e+04 2.326295297577352272e+01
6.022937487951909861e+04 2.346092922953345905e+01
6.023925945515683998e+04 2.372017841000113947e+01
6.023925990484264184e+04 2.377268273195502246e+01
6.024707572822985821e+04 2.272238502272408667e+01
6.025122629608645366e+04 2.335195584307270167e+01
6.025122908191998431e+04 2.334894839340735828e+01
6.026301551971539448e+04 2.321184180984759848e+01
6.027519987119279540e+04 2.292457968770104770e+01
6.028809069712233031e+04 2.371107896977053286e+01
6.029408903057596035e+04 2.407878312168904245e+01
6.030206897515888704e+04 2.339896994967097754e+01
6.032114174354643183e+04 2.318729891718012581e+01
6.056438132597484946e+04 2.384658398572394233e+01
6.056634919309648103e+04 2.382206081192412483e+01
6.057438275688996509e+04 2.286626484895940337e+01
6.057534561326633411e+04 2.344646168079229298e+01
6.058726413438095915e+04 2.382541050810725736e+01
6.060119269087976136e+04 2.344156224392272136e+01
6.060119361983777344e+04 2.337975279720108190e+01
6.060130121530721954e+04 2.270672891972218821e+01
6.060430445962137310e+04 2.329846642232256571e+01
6.061126879866457602e+04 2.361460462394852655e+01
6.064021643369329831e+04 2.370885133707125902e+01
6.064505320960572135e+04 2.388668376125842485e+01
6.064917017392368143e+04 2.347357159413442673e+01
6.065623736474890757e+04 2.288795837974891967e+01
6.067706042115208402e+04 2.322071607357295875e+01
6.067913221826681547e+04 2.340778856030164690e+01
6.069505617328103835e+04 2.376324317803559438e+01
6.070503682332432072e+04 2.300436492239771624e+01
6.091836357623381627e+04 2.372123243409523496e+01
6.100520520250988920e+04 2.357774558625312267e+01
6.100602632717855158e+04 2.350665210036399699e+01
6.126833433773992147e+04 2.340168463581964886e+01
6.129135816535409685e+04 2.355580334500871587e+01
6.129338888854426477e+04 2.301569642914289204e+01
6.130234434310892539e+04 2.287990218929002850e+01
6.130328674296379177e+04 2.370839421159968907e+01
6.130523570210073376e+04 2.355475732500657315e+01
6.131024260780650366e+04 2.265755623289058462e+01
6.131024678387024323e+04 2.280349484228632662e+01
6.132238028076159389e+04 2.352065403084042572e+01
6.132933840073470492e+04 2.361691672504225181e+01
6.132933886269344657e+04 2.358151860997929816e+01
6.133631854048175592e+04 2.242656860280133202e+01
6.133928816095305956e+04 2.244255120269409076e+01
6.134532655629680085e+04 2.353216659563736712e+01
6.136009763134163222e+04 2.387903001392566082e+01
6.136515191661444260e+04 2.340075071139489182e+01
6.136914072499926260e+04 2.316845909161883554e+01
6.137504627593153418e+04 2.364173446560063141e+01
6.137504673211184127e+04 2.366843380866600910e+01
6.138208873352366209e+04 2.352205616260051002e+01
6.138209154629720433e+04 2.366814454229185927e+01
6.138502973538729566e+04 2.307068665335334501e+01
6.138508001152162615e+04 2.379697500132067844e+01
6.138712920307468448e+04 2.381017401737506844e+01
6.138713012884301133e+04 2.388565944477447545e+01
6.139612292677840014e+04 2.305912896842331605e+01
6.139612384773876693e+04 2.325885711173236814e+01
