# JD   5-sigma-depth
6.036235198378992936e+04 2.246338866437326232e+01
6.036236191775264888e+04 2.248500490500727622e+01
6.036237294111211668e+04 2.256299526921517895e+01
6.036238353929769073e+04 2.247277157383167889e+01
6.036526638573720993e+04 2.206063269841538954e+01
6.036529009845446126e+04 2.229525965830721290e+01
6.036530210057296063e+04 2.209842634543526785e+01
6.036532487196545117e+04 2.225802430487298977e+01
6.036536263356402196e+04 2.213938386393443736e+01
6.036537299263422756e+04 2.211317799057283651e+01
6.037436624505044165e+04 2.252193266682162687e+01
6.040236857229100133e+04 2.211932258772779747e+01
6.042116626864018326e+04 2.164007039020724577e+01
6.042118915858072432e+04 2.141385230108830484e+01
6.042831393448916788e+04 2.181909252148116352e+01
6.048410811897622625e+04 2.231960764197298630e+01
6.048410856772667466e+04 2.218300391489487566e+01
6.048413093137671967e+04 2.215998109991600273e+01
6.048413137908779754e+04 2.217358940440090720e+01
6.048804494831377815e+04 2.189852747290566981e+01
6.051006742754065635e+04 2.164586759732248566e+01
6.051009039884209051e+04 2.129643928678727960e+01
6.074538468011298392e+04 2.221095771136582187e+01
6.078536524942408869e+04 2.196704292793704383e+01
6.078622445369831257e+04 2.243556913046389667e+01
6.081014963127145165e+04 2.238265516869383021e+01
6.081025997122471017e+04 2.217189959527021159e+01
6.081026041913771041e+04 2.215122938961960131e+01
6.081035388633471302e+04 2.135209879935978350e+01
6.081037356405676110e+04 2.123615924938974331e+01
6.081037400745257037e+04 2.114938658172924590e+01
6.085598468871910882e+04 2.190019574938986224e+01
6.085600834173956537e+04 2.186470109039675336e+01
6.086518211401261215e+04 2.130099859784399641e+01
6.086713422039495345e+04 2.172590437390179119e+01
6.110027327393797896e+04 2.222868844418367829e+01
6.110029553735168156e+04 2.215015933631411826e+01
6.110031856845725997e+04 2.231652452776767248e+01
6.110132777850817365e+04 2.244731303756894647e+01
6.111138213909677143e+04 2.211623608656147866e+01
6.111231462449068204e+04 2.241989076095670086e+01
6.111231564802968205e+04 2.240996292300538784e+01
6.111739236674358108e+04 2.240632458487734269e+01
6.111740374050174432e+04 2.221561480651271125e+01
6.112831095697576529e+04 2.232581289491513132e+01
6.113740657047505374e+04 2.185183375141752293e+01
6.113741775530437008e+04 2.137279682266006731e+01
6.115621757378122129e+04 2.226042417421086839e+01
6.115723831624920422e+04 2.211429463488382652e+01
6.115726108263901551e+04 2.227198148647618225e+01
6.115936809570842888e+04 2.160602427747047116e+01
6.116530394263975904e+04 2.201885834478324711e+01
6.116532651668157632e+04 2.194192651882215017e+01
6.116632758919519983e+04 2.212551374208121047e+01
6.119204545291350951e+04 2.194917126049912071e+01
6.119301027107235859e+04 2.201958758090547263e+01
6.119421983638447273e+04 2.205501785154614680e+01
6.119424236090278282e+04 2.164927080654052460e+01
6.122407516526772088e+04 2.228105192123728528e+01
6.122409768212517520e+04 2.233086627193316076e+01
6.122422067648201482e+04 2.134804247809496403e+01
6.122909939837131242e+04 2.211037124814478716e+01
6.124706722113286378e+04 2.192040330590199559e+01
6.124708919108063128e+04 2.174230224507204667e+01
6.125105865938906936e+04 2.206050582319435449e+01
6.125108291648068553e+04 2.210837354540838362e+01
6.125110533361673879e+04 2.205455138133391912e+01
6.125112773127909168e+04 2.167154837673705714e+01
6.126799662058530521e+04 2.207962577110691527e+01
6.126801947026101698e+04 2.208522831757736427e+01
6.127607136602322862e+04 2.125895437293300461e+01
6.155327283344196621e+04 2.165253586014500087e+01
6.181237885409808950e+04 2.224102499987653303e+01
6.184125649330220040e+04 2.196088886693395281e+01
6.184132664136641688e+04 2.224571864677146493e+01
6.184229661308565119e+04 2.220480100401885792e+01
6.186434771980455116e+04 2.231573311638211621e+01
6.186436715625634679e+04 2.227027155848523421e+01
6.186439098633867252e+04 2.211912933387499436e+01
6.186831412848297623e+04 2.229093893322804121e+01
6.186835074210659513e+04 2.210506958993014948e+01
6.186837297540760483e+04 2.197388796324799642e+01
6.187531083049208246e+04 2.229715570378257183e+01
6.189331560688484751e+04 2.217150955513285737e+01
6.189331650879114022e+04 2.213705274873922946e+01
6.189511440646280244e+04 2.224268586157662497e+01
6.189511485568361240e+04 2.225296729204508495e+01
6.189513735269545577e+04 2.212196511158697376e+01
6.189513780446953751e+04 2.213195559735181561e+01
6.189618952236804762e+04 2.216907397837643146e+01
6.189629839698695287e+04 2.212468050676221409e+01
6.189632132064973848e+04 2.199332139183903578e+01
6.192305534329623333e+04 2.239314388112959264e+01
6.192305899071625026e+04 2.232419056343079333e+01
6.192308174039420555e+04 2.214128048302180574e+01
6.193526706189416291e+04 2.105287515188256720e+01
6.194298546224232996e+04 2.215281025495489686e+01
6.194298636151826213e+04 2.230146682222784804e+01
6.194300821575057489e+04 2.211291723979711321e+01
6.194300912561322184e+04 2.213163843926114893e+01
6.194898703694344294e+04 2.100496093985541535e+01
6.194901011860548897e+04 2.115846428135334634e+01
6.197713047001917585e+04 2.124601756967985011e+01
6.197713091948309011e+04 2.133310687014969886e+01
6.197715283249152708e+04 2.095931569954225893e+01
6.197715328192622110e+04 2.107540445750904468e+01
6.198400972266209283e+04 2.201618645224946746e+01
6.198604610600550222e+04 2.213623724868255849e+01
6.198611460367814288e+04 2.172101981525512926e+01
6.198711153999462840e+04 2.178804756103566120e+01
6.198906888078931661e+04 2.211691148751123492e+01
