# JD   5-sigma-depth
6.030326640982061508e+04 2.317093178614603488e+01
6.030828336399507680e+04 2.313012171912547643e+01
6.032633405251696968e+04 2.331339875586039767e+01
6.032635238986289187e+04 2.314394382280034534e+01
6.033119116921929526e+04 2.319601902154166595e+01
6.033933827029886743e+04 2.214542346305119835e+01
6.036624420143356838e+04 2.259252426484051313e+01
6.036923821448534727e+04 2.299333666870751003e+01
6.039115553581124550e+04 2.264294032710469651e+01
6.039402793892324553e+04 2.276450632880700908e+01
6.039402955168347398e+04 2.283816436812691109e+01
6.039599892210844700e+04 2.281931937744216299e+01
6.042009584427631489e+04 2.291312586497007686e+01
6.042009719581428362e+04 2.288815173028145011e+01
6.042108389604135300e+04 2.228423240907634550e+01
6.042211587628093548e+04 2.250846810941250808e+01
6.044804884207418218e+04 2.283024920863712026e+01
6.068135874148542644e+04 2.322750506306805818e+01
6.068136455958872102e+04 2.285756194833921739e+01
6.068136610531353654e+04 2.276078957445543693e+01
6.069234320580466738e+04 2.313171996000891184e+01
6.071511058238248370e+04 2.306379001622259750e+01
6.072028309081070620e+04 2.257194384018514555e+01
6.075127391154234647e+04 2.242278244249778396e+01
6.075505015760962851e+04 2.319476601224089407e+01
6.075505415194603847e+04 2.334931982027880082e+01
6.078012320417266164e+04 2.288214639975164033e+01
6.078014489142660022e+04 2.267423742168233858e+01
6.080707973180695262e+04 2.268606906906774867e+01
6.080802467508753762e+04 2.244314295359138711e+01
6.080803324197971961e+04 2.242128029395762212e+01
6.109508182559714623e+04 2.310957403882127892e+01
6.137232195784338546e+04 2.309210907908903820e+01
6.137232967252515664e+04 2.292824403610054773e+01
6.137233058563695522e+04 2.293017453822554330e+01
6.137233103350680176e+04 2.291470427175834601e+01
6.139624392040099337e+04 2.278131615672404209e+01
6.139927520720776374e+04 2.279115537604892694e+01
6.140235967548471672e+04 2.248890365524972168e+01
6.140236009215137892e+04 2.247240721390231499e+01
6.140236050881804113e+04 2.256302561942105100e+01
6.140236140837931453e+04 2.247988015905134418e+01
6.140435105434837169e+04 2.310357712514942818e+01
6.140435478394521488e+04 2.301689426712203357e+01
6.142032989057740633e+04 2.330629046564428464e+01
6.142036393479874096e+04 2.296482160565562225e+01
6.142334147766451497e+04 2.307579424529023981e+01
6.142533973304399115e+04 2.305354463981386104e+01
6.142832120011591905e+04 2.281988491633590499e+01
6.142832165686311782e+04 2.282901399893953354e+01
6.144911483501517068e+04 2.313362015800663585e+01
6.144911528480128618e+04 2.320326166676583668e+01
6.145027208548280760e+04 2.308036059682130414e+01
6.145027253431858117e+04 2.307125242994672831e+01
6.145325426447956852e+04 2.329859459275412803e+01
6.145624932449460903e+04 2.244052541763446129e+01
6.145724380213705444e+04 2.276148264441900437e+01
6.145725797559668717e+04 2.259025897105218306e+01
6.148000328746091691e+04 2.292620061067910342e+01
6.148522610556802829e+04 2.222073285827658040e+01
6.148699095057221712e+04 2.228804065961254821e+01
6.148816257155992935e+04 2.287320857009193986e+01
6.149319374141859589e+04 2.266719973019810297e+01
6.149319418922071782e+04 2.270186094159434376e+01
6.151311653347717220e+04 2.275777604249478614e+01
6.152403433714720450e+04 2.274301656220781709e+01
6.152414015719870076e+04 2.258543569639373416e+01
6.153905255830750684e+04 2.269725156934077503e+01
6.153905392874613608e+04 2.270465994360786866e+01
6.154106306451652927e+04 2.235811036293531373e+01
6.177935224778376141e+04 2.332242086568832207e+01
6.181308019851639983e+04 2.220496027695126529e+01
6.189403710729256272e+04 2.279420850407143462e+01
6.189503400649855757e+04 2.284594753546684132e+01
6.189503446748706483e+04 2.295692511622301168e+01
6.213424603573368950e+04 2.294098283980417818e+01
6.216136776251892297e+04 2.261143479477694740e+01
6.216136867952727334e+04 2.259919091170560534e+01
6.216237170815152058e+04 2.211557920014795897e+01
6.216628354868425959e+04 2.261060944111852322e+01
6.216730402418801532e+04 2.228885374446865342e+01
6.216934327078206115e+04 2.243758896659778657e+01
6.216934371955640381e+04 2.249504546432786967e+01
6.217027422202636080e+04 2.312399627105763500e+01
6.218803943014620745e+04 2.232445944079875488e+01
6.218821411575960519e+04 2.319210184170561462e+01
6.218821456780427252e+04 2.324250960650715569e+01
6.218925194633539650e+04 2.307837462859344413e+01
6.218932616827008314e+04 2.254480061330691854e+01
6.219024524941873824e+04 2.271442080610383130e+01
6.219128055694876093e+04 2.226593106683527878e+01
6.219824592706072144e+04 2.280598598853344683e+01
6.219905434197789873e+04 2.290048698434693719e+01
6.222119599073378777e+04 2.255856623744213252e+01
6.222119823942116636e+04 2.257126598094167846e+01
6.222522778962353914e+04 2.160775090789548614e+01
6.222523002897910919e+04 2.159560232343452313e+01
6.222703180797902314e+04 2.297850796644311444e+01
6.222813665318048879e+04 2.304327999341611388e+01
6.224907640930661728e+04 2.251796923320376820e+01
6.224909548559463292e+04 2.268779585430861090e+01
6.225213702943183307e+04 2.187004012343309967e+01
6.225519821798439807e+04 2.155213809485619336e+01
