# JD   5-sigma-depth
6.023924344287235726e+04 2.374707104022549942e+01
6.024123713289851003e+04 2.375585393775049070e+01
6.024717077995064756e+04 2.307355963401147392e+01
6.025019110922519030e+04 2.356193247793105883e+01
6.025020169731040369e+04 2.356884952236308095e+01
6.027212360601779073e+04 2.344726171352811406e+01
6.027318175465153763e+04 2.333760225720098092e+01
6.028412848845180997e+04 2.379362616554501741e+01
6.028817836082802387e+04 2.396738305158359950e+01
6.030215619275525387e+04 2.365059103322083445e+01
6.030215711088550597e+04 2.361872947259996280e+01
6.030718716647630208e+04 2.320256644295962900e+01
6.030718850926525192e+04 2.315577823226451315e+01
6.032910026123360149e+04 2.359797575716497420e+01
6.033107165614168480e+04 2.362267390948451151e+01
6.037905377531270642e+04 2.351642489472730801e+01
6.038201185024357983e+04 2.326787781739129457e+01
6.060427441520772118e+04 2.379921657064081586e+01
6.061126046087066061e+04 2.371103578022702862e+01
6.062630722993431118e+04 2.336777344494510444e+01
6.062817761102182703e+04 2.320431061462978306e+01
6.065022327239560400e+04 2.372343042696005710e+01
6.065622222043952934e+04 2.333536931673998538e+01
6.066115791263293067e+04 2.334997363047435215e+01
6.068112265170859609e+04 2.379691261958912207e+01
6.068611794276341243e+04 2.307309747886143825e+01
6.069706368204433966e+04 2.353921230954101418e+01
6.069905553262418834e+04 2.371063588497768748e+01
6.071802600684973731e+04 2.293471302492304886e+01
6.072505324057007238e+04 2.328757024449446433e+01
6.073401604487194709e+04 2.321731133397949876e+01
6.103914654621258524e+04 2.349865733109453458e+01
6.104417044416437420e+04 2.320587439599398394e+01
6.132336097951154079e+04 2.370735472994408610e+01
6.132434533539666882e+04 2.399397993866093870e+01
6.132435090055062756e+04 2.396535652303576924e+01
6.133035532273640274e+04 2.354840746791430206e+01
6.133332718578282947e+04 2.346776348309091986e+01
6.133631252402677637e+04 2.287843074011367150e+01
6.133929959786876861e+04 2.291797169613363749e+01
6.134023828940779640e+04 2.326082186914563721e+01
6.134531741383320332e+04 2.360911004307144623e+01
6.135723523045668117e+04 2.394942267093099630e+01
6.135724081198566273e+04 2.374967563832546702e+01
6.136230071085604868e+04 2.371071525106166789e+01
6.136514126218773890e+04 2.334609959601955254e+01
6.136514269664066524e+04 2.333035687783250722e+01
6.136623913211713807e+04 2.348322346084019330e+01
6.137121959632561629e+04 2.359733346052420799e+01
6.137122142813044775e+04 2.350486755533873406e+01
6.137123516635812121e+04 2.361176702096425473e+01
6.137123561850332044e+04 2.364112777559114065e+01
6.138120208191239362e+04 2.396647229122316247e+01
6.138714034469063336e+04 2.410682460440023078e+01
6.138714172718692134e+04 2.407336135474110250e+01
6.139611136040735437e+04 2.341794083026696782e+01
6.139619702196490834e+04 2.340920331642406182e+01
6.139820444735576166e+04 2.314976810249571670e+01
6.140219806105871976e+04 2.343411926516416699e+01
6.140322799075926741e+04 2.348590610702276393e+01
6.142106629094139498e+04 2.365989513285187584e+01
6.142406233811319544e+04 2.327849362815324241e+01
6.143205245054879924e+04 2.348787856889474313e+01
6.143205291278302320e+04 2.345819496822760186e+01
6.143207664623417804e+04 2.348269964203243632e+01
6.143605847705049382e+04 2.358035459606076856e+01
6.144613241762140387e+04 2.336571780005021637e+01
6.145303816348205874e+04 2.320431790714008002e+01
6.145305615397649672e+04 2.303136806839494000e+01
6.145803221138016670e+04 2.332198935409114071e+01
6.148103194087921293e+04 2.336655666130294051e+01
6.168234404112545599e+04 2.380211651464154343e+01
6.168729060718043183e+04 2.365590320482517583e+01
6.175626068714504800e+04 2.317696345375022204e+01
6.205035154576885543e+04 2.296020981699287233e+01
6.206031658100525965e+04 2.389755320455406462e+01
6.206035708358841657e+04 2.363854725186852335e+01
6.207022397524627740e+04 2.348581599973046607e+01
6.207216780786930758e+04 2.313108311997835287e+01
6.207422166728451703e+04 2.345291993268262587e+01
6.208432903322413040e+04 2.350759201384261843e+01
6.210314759649340704e+04 2.312883818014639559e+01
6.210314946087379940e+04 2.310855942965691057e+01
6.210326941819590866e+04 2.317697962176128357e+01
6.210720819586306607e+04 2.323058063365429504e+01
6.211224095517960086e+04 2.351674352017453984e+01
6.211431285762911284e+04 2.293868377782549572e+01
6.213305018840706180e+04 2.335749320566397813e+01
6.213305063724611682e+04 2.333433687908519261e+01
6.215214298634151783e+04 2.382860685169866599e+01
6.215618128550357505e+04 2.313533549269036627e+01
6.216014078570970014e+04 2.333725269983732531e+01
6.216206106934956915e+04 2.300854893248857280e+01
6.216805979506762378e+04 2.308184327836541172e+01
6.217912869292123651e+04 2.313222521062229120e+01
6.218506959988016752e+04 2.356617476702361458e+01
6.218802167746097984e+04 2.291741386102322764e+01
6.219205322194135078e+04 2.311705549648176827e+01
6.249020197432534042e+04 2.318983646489734340e+01
6.249020242181146023e+04 2.318031095418452026e+01
6.249220019576934283e+04 2.301914470843186322e+01
6.251012904547767539e+04 2.379648298111308691e+01
6.277537216250399797e+04 2.280580917402657803e+01
6.277537261728088924e+04 2.279245516612138900e+01
6.277537681109018013e+04 2.298741978269445241e+01
6.277629662640780589e+04 2.319818807891262580e+01
6.277629707609918114e+04 2.315943387068585579e+01
6.278136282876548648e+04 2.351637761439695140e+01
6.278336529899195739e+04 2.337238841240422360e+01
6.278532949958044628e+04 2.296373188408790256e+01
6.278635164289935346e+04 2.287106164768128735e+01
6.279036549600597937e+04 2.298353054202550183e+01
6.281625657777178276e+04 2.296535907209360872e+01
6.281731805049664399e+04 2.241695260656804223e+01
6.283121687361953809e+04 2.350858779363491280e+01
6.283121733312534343e+04 2.353673322456854677e+01
6.283417022506834473e+04 2.348793624429413995e+01
6.283705259806317190e+04 2.324082372977465383e+01
6.283812906593453226e+04 2.362041534215758887e+01
6.283814776335347415e+04 2.362402036392889215e+01
6.284323316593070922e+04 2.270952967328332761e+01
6.284723744257343787e+04 2.309936619140264824e+01
6.284815728364795359e+04 2.310083932535243889e+01
6.284824055131997011e+04 2.336874372991827187e+01
6.285413892777728324e+04 2.340047726013644436e+01
6.286021816919456614e+04 2.340930225120059305e+01
6.286611937305191532e+04 2.379093486620069697e+01
6.286718918283921812e+04 2.390902840614295854e+01
6.287110775952157564e+04 2.330785777680627646e+01
6.287606774234524346e+04 2.330654475945533122e+01
6.287606819181315223e+04 2.327773923471143647e+01
6.287721875557151361e+04 2.319189927469048484e+01
6.288712631629426323e+04 2.317995271232427967e+01
6.288809897534287302e+04 2.353090191582635882e+01
6.289607008935364138e+04 2.355518302518825635e+01
6.289607285511409282e+04 2.340527783234006876e+01
6.290007160840858705e+04 2.349566546233344866e+01
6.290404476172052819e+04 2.311296024745122679e+01
6.291104157128091174e+04 2.356100924025852095e+01
6.291303768429189950e+04 2.365764416350182842e+01
6.312140680576963496e+04 2.310844789072726968e+01
6.312140727055443131e+04 2.309851687466597525e+01
6.312735460542123474e+04 2.376660320320297259e+01
6.314927012356879277e+04 2.373130408158908722e+01
6.315233261044196843e+04 2.324689160751760042e+01
6.316721662604096491e+04 2.295653349641328589e+01
6.316730826215316483e+04 2.320994211932701390e+01
6.316730872801878286e+04 2.317082282406941118e+01
6.317226286297463957e+04 2.333918952988907591e+01
6.319312887251565553e+04 2.371693457146810147e+01
6.320631336460077000e+04 2.315656293734862459e+01
6.322307743955920159e+04 2.352295812893733995e+01
6.322307929065653298e+04 2.335615599431176292e+01
6.323117339143249410e+04 2.312674432811127900e+01
6.326803956557571655e+04 2.317692651018560568e+01
6.326804003254572308e+04 2.319029735868759801e+01
6.326804048522299854e+04 2.315463916770413277e+01
6.329402570791881590e+04 2.351124769146955629e+01
6.349935757818463026e+04 2.345949551672105926e+01
6.349935804154639482e+04 2.345432382204703003e+01
6.349936273303196504e+04 2.353198241167422466e+01
6.351436001126325573e+04 2.361127230731560900e+01
6.351436592899296375e+04 2.383208920235961514e+01
6.352223743814034242e+04 2.273066014037027571e+01
6.353131450906289683e+04 2.363760881965534466e+01
6.353435984050796105e+04 2.367640786825504762e+01
6.353436074437348725e+04 2.350430452783249891e+01
6.355025189429414604e+04 2.353095476238493333e+01
6.355027742382041470e+04 2.330369513445398866e+01
6.355820126900158357e+04 2.333645070636703878e+01
6.356516130598024756e+04 2.407105965259809111e+01
6.357709987398898375e+04 2.355196282060921220e+01
6.357711491146557819e+04 2.365045291067838562e+01
6.357711536070886359e+04 2.361869656967419218e+01
6.357721715839162789e+04 2.366876404732216699e+01
6.357721762151125586e+04 2.366344390291254740e+01
6.361014323836875701e+04 2.283324533487906294e+01
6.361014963715112390e+04 2.306641753277128259e+01
6.362613817861785355e+04 2.366570982733369988e+01
6.365606005388074118e+04 2.353043581775019533e+01
6.383639951417341217e+04 2.405542080315836984e+01
6.385131944184273016e+04 2.280188126381851177e+01
6.385131989725724998e+04 2.280088517535607906e+01
6.385537809225988894e+04 2.306627323637247073e+01
6.385640131091673538e+04 2.192983210323060916e+01
6.385640321720652719e+04 2.188295454026895470e+01
