# JD   5-sigma-depth
6.028934496372781723e+04 2.397725318006608575e+01
6.031731916112006729e+04 2.394757954370013664e+01
6.031830457970018324e+04 2.427169422701356893e+01
6.032132832799223979e+04 2.401612599433610384e+01
6.032327284141487326e+04 2.432594590142439372e+01
6.033030467111283360e+04 2.425985297389487982e+01
6.034324432390595030e+04 2.402199237877795923e+01
6.034525789706510113e+04 2.389481742456041147e+01
6.034825482763069886e+04 2.417200105047138337e+01
6.037015646237723558e+04 2.363743772405548782e+01
6.037712019556936866e+04 2.349290914789610696e+01
6.037712064342001395e+04 2.350352812270331526e+01
6.037712109284260805e+04 2.344838904323459872e+01
6.039703431925753102e+04 2.341603436119621762e+01
6.039905641003460187e+04 2.369179180047090938e+01
6.040005464337826561e+04 2.395559124838093368e+01
6.040708676314749027e+04 2.407720820970659048e+01
6.042702520560000994e+04 2.317828295743473888e+01
6.042905766874571418e+04 2.360346316772266917e+01
6.043005749594218651e+04 2.289497964310778855e+01
6.043006823965336662e+04 2.323483681367122600e+01
6.044196163240754686e+04 2.376579699513510135e+01
6.044199895882700366e+04 2.366633406646771576e+01
6.067930784849723568e+04 2.426172847398962418e+01
6.067930928430271888e+04 2.430703417032823310e+01
6.067933009521190252e+04 2.420552296752906329e+01
6.070226731907543581e+04 2.402507496857709057e+01
6.070323435394539410e+04 2.374121293655717579e+01
6.073016841276247578e+04 2.381729521372911762e+01
6.073109252412962087e+04 2.417607058214204940e+01
6.073311846925895952e+04 2.429911077979835454e+01
6.073312747351823054e+04 2.431929876465465412e+01
6.073313151453963656e+04 2.443229195473034210e+01
6.076302061956125544e+04 2.387244514837119169e+01
6.079303469030789711e+04 2.374127139943778531e+01
6.102428519415633491e+04 2.425072886087949797e+01
6.102433695099731995e+04 2.430120377969574008e+01
6.102832168985567841e+04 2.391925402174706150e+01
6.102932495015740278e+04 2.409906956488377006e+01
6.105429920039411081e+04 2.432790033368447524e+01
6.105725588069769583e+04 2.408788240543485415e+01
6.105832651255921519e+04 2.438426614614833454e+01
6.106323199772452062e+04 2.410719891123505576e+01
6.106529758687406866e+04 2.428546299229830652e+01
6.108020403899841767e+04 2.339295546215092969e+01
6.108220339274452272e+04 2.424924046022811552e+01
6.108220786598475388e+04 2.406766432998502125e+01
6.108319522957591107e+04 2.437239684840717757e+01
6.108410295277059049e+04 2.367364911860993715e+01
6.108613623684377671e+04 2.438814843390948894e+01
6.108613668419898022e+04 2.442681310445864540e+01
6.108623857566095103e+04 2.438711705454262813e+01
6.109218835200960166e+04 2.402752056951526782e+01
6.109222793211071985e+04 2.425617383385011294e+01
6.109317020762486936e+04 2.428200175492226975e+01
6.111407179874306894e+04 2.384461556755910294e+01
6.111508010229859792e+04 2.424082624185126633e+01
6.111508054943488969e+04 2.427381795558465427e+01
6.112309921766346088e+04 2.421522043235513877e+01
6.112311757105871220e+04 2.430530779131363417e+01
6.113709079191823548e+04 2.392013677426475837e+01
6.114397834262439574e+04 2.410742834952786495e+01
6.114505042279336340e+04 2.391314902982710677e+01
6.114797672432024410e+04 2.389734319480619718e+01
6.116396849506043509e+04 2.384813426031538697e+01
6.116496803558690590e+04 2.393002925500961808e+01
6.116800894810037425e+04 2.414174141161231546e+01
6.116800939310628746e+04 2.417902370344135932e+01
6.116995665378218109e+04 2.388359431933401922e+01
6.116996517996891635e+04 2.403007811576040353e+01
6.117495390624048741e+04 2.382673623399380247e+01
6.117495481249230943e+04 2.380558843834769434e+01
6.144125332293546671e+04 2.367585018154169063e+01
6.149700638820911263e+04 2.437788035586151381e+01
6.149708715944358119e+04 2.453359034452658349e+01
6.152201959614307270e+04 2.429864829887782918e+01
6.152996238332297071e+04 2.324548386453217574e+01
6.153297232234165858e+04 2.417517856666820819e+01
6.176132779260040843e+04 2.360687437196321525e+01
6.177229944556058763e+04 2.403346956023353442e+01
6.177833042524853954e+04 2.367278964811551134e+01
6.179021213560345495e+04 2.387399340376134305e+01
6.179021347573883395e+04 2.407129695182931428e+01
6.179129427211192524e+04 2.407665546864245698e+01
6.179630791043619683e+04 2.376816842390922346e+01
6.180024363324822480e+04 2.388483945348306037e+01
6.182315593861258094e+04 2.396034821492964895e+01
6.182918307768509112e+04 2.414526627558974781e+01
6.183221967934197892e+04 2.385749002892374904e+01
6.183420557753348112e+04 2.374311707857259535e+01
6.183627383255452150e+04 2.352826349274614159e+01
6.184510916099156748e+04 2.314816668215278384e+01
6.184619339965831023e+04 2.335721264332630653e+01
6.184619384619114862e+04 2.315690136558827561e+01
6.184710791116631299e+04 2.387658943945087842e+01
6.185105433333817200e+04 2.404217808048975513e+01
6.187597743616488879e+04 2.398418027754681248e+01
6.187597788464556652e+04 2.403341442576614639e+01
6.187997684230932646e+04 2.395267516082583725e+01
6.188398484892399574e+04 2.433568685777671803e+01
6.188896992621935351e+04 2.408628830875155202e+01
6.189000642459075607e+04 2.377538154935340131e+01
6.189002838523290120e+04 2.377438079113954217e+01
6.190695456004027801e+04 2.356392496939212577e+01
6.190800675680604763e+04 2.383260180504562342e+01
6.212034566499651555e+04 2.345029791618653192e+01
6.220010552431312681e+04 2.359626606051545039e+01
6.220911319873027242e+04 2.374672341290240851e+01
6.220912780394897709e+04 2.374975461696772072e+01
6.220921684572141385e+04 2.380881148073267539e+01
6.223903775199063239e+04 2.358819760007581579e+01
6.250533858437732852e+04 2.361578864141457146e+01
6.250534756991126051e+04 2.371022373948488493e+01
6.251030892407804640e+04 2.377102544438213982e+01
6.252724781513450580e+04 2.357054381178561897e+01
6.252825605169686605e+04 2.403219439378371547e+01
6.253028902200905577e+04 2.336522167480244860e+01
6.253624536907574657e+04 2.374725200601201180e+01
6.253819763917357341e+04 2.385916125846131663e+01
6.253823559333552112e+04 2.385734522737576668e+01
6.256011531717712933e+04 2.350511374947175014e+01
6.256012298427389032e+04 2.381090985067361032e+01
6.256221016813968890e+04 2.340892579164676945e+01
6.256221061736727279e+04 2.340785158710919234e+01
6.258704833091339970e+04 2.318631294848568203e+01
6.258704922719689785e+04 2.322994587765956709e+01
6.258807155835629965e+04 2.347538237911555825e+01
6.258911533351031539e+04 2.327962582729817598e+01
6.259301777780624980e+04 2.360961992462863890e+01
6.259308890758869529e+04 2.338251330881979229e+01
6.259308935519809165e+04 2.337763514516730012e+01
6.259608246457158384e+04 2.385942191269709411e+01
6.259608651883702987e+04 2.389552036491107145e+01
6.261097560825365508e+04 2.381216580084076995e+01
6.261801681331075815e+04 2.337321743460405798e+01
6.261804643108512391e+04 2.312150911176460966e+01
6.261804687849351467e+04 2.308189669484917772e+01
6.262400717510540562e+04 2.387865088767453159e+01
6.262595829859532387e+04 2.327723782761609073e+01
6.289131696670623205e+04 2.413943261410678076e+01
6.289822177803581144e+04 2.429711997641804544e+01
6.292023105372147984e+04 2.378467842454609382e+01
6.292319389705071080e+04 2.390251711765025178e+01
6.292322920361276920e+04 2.394257601289382009e+01
6.293705216069885500e+04 2.334309805047311670e+01
6.293707639210594789e+04 2.307306449629853518e+01
6.294708680106401880e+04 2.384550110262196299e+01
6.295000055920113664e+04 2.380401730593353449e+01
6.299700958515903767e+04 2.397524862714079319e+01
6.300209782214363804e+04 2.323701589419349034e+01
6.300401095695931872e+04 2.394381637140077856e+01
6.321835137250582920e+04 2.385472644847109791e+01
6.324729561219130119e+04 2.440448249954614823e+01
6.326618754433650611e+04 2.397484988802887429e+01
6.326721069623354560e+04 2.388965722555199278e+01
6.330812056389803183e+04 2.389789364751909773e+01
6.330812101281289506e+04 2.394334982852878468e+01
6.332001846850530274e+04 2.304520287243460785e+01
6.332505967594390677e+04 2.408640843159888334e+01
6.333298864898738975e+04 2.374065192479597641e+01
6.335002699783049320e+04 2.359784204776698147e+01
6.335696653382054501e+04 2.373952151969922397e+01
6.357035440192242822e+04 2.296152092807330547e+01
6.357334649930238811e+04 2.362641226259396987e+01
6.359225809935999132e+04 2.391241955234235661e+01
6.359230087543492846e+04 2.385976133891039552e+01
6.360232295680492825e+04 2.327182275027155356e+01
6.362727449910456926e+04 2.433404027029649797e+01
6.362727494650172594e+04 2.436917518252214876e+01
6.362825077582224185e+04 2.397204645331051864e+01
6.363220415710630914e+04 2.412847845133858726e+01
6.363319457319837966e+04 2.419590842120953056e+01
6.365118723714569933e+04 2.436555896443849534e+01
6.365617683200381725e+04 2.409384397671311717e+01
6.368013393954813364e+04 2.404546323142680464e+01
6.370397706349317741e+04 2.416576042818310555e+01
6.370806125584890833e+04 2.368860167427726893e+01
6.370897320747814229e+04 2.406189488784995945e+01
6.371304360463382181e+04 2.377148339951245504e+01
6.371796027161009988e+04 2.381593709927915725e+01
6.371802506969348178e+04 2.389029669323752714e+01
