# JD   5-sigma-depth
6.022100641985658876e+04 2.334058762976953361e+01
6.022312254822744580e+04 2.341844184702631537e+01
6.047642686272244464e+04 2.277991180609602395e+01
6.047642777345273498e+04 2.279677908593340874e+01
6.048825678498685011e+04 2.266164779871790813e+01
6.048839810390914499e+04 2.236304554340044248e+01
6.048937697219579422e+04 2.246283712109829622e+01
6.048937787912989006e+04 2.249208402307923649e+01
6.050623715051294130e+04 2.232645958558777366e+01
6.054408070138643234e+04 2.272860548575014406e+01
6.054727079630894877e+04 2.321119618989868272e+01
6.054727124201444531e+04 2.322655231917984864e+01
6.057201312720938586e+04 2.284847164063226543e+01
6.057224082890872523e+04 2.247535157328940869e+01
6.057303082993812859e+04 2.295096216928545374e+01
6.057303128191563883e+04 2.292176402836113880e+01
6.060107266010234162e+04 2.326359781137792382e+01
6.062601758344542031e+04 2.267491963078970940e+01
6.078039515013290656e+04 2.249382638139423207e+01
6.078040508743574173e+04 2.262877378126640338e+01
6.080833043562966486e+04 2.286459510398307415e+01
6.093106445472490304e+04 2.300389981486771518e+01
6.093198343780077266e+04 2.282965069160946570e+01
6.121423147506170790e+04 2.280861649817740755e+01
6.122736779761845537e+04 2.272522245457405887e+01
6.122736924106741208e+04 2.270746553837357595e+01
6.122741898706877691e+04 2.244865078237431533e+01
6.124136895156791434e+04 2.291601664156102913e+01
6.124136940270631749e+04 2.290451952284075787e+01
6.125342944403638830e+04 2.155882959038873281e+01
6.125342986070305051e+04 2.154938495084581263e+01
6.125428610952437884e+04 2.246354238738220488e+01
6.125428708673529763e+04 2.246970518097921143e+01
6.125434525604110968e+04 2.275578451679465175e+01
6.125434570204228658e+04 2.275642397702143072e+01
6.125438031920387584e+04 2.237641835509763055e+01
6.125438076365852612e+04 2.238268108111947186e+01
6.125537675564922392e+04 2.237768409850598061e+01
6.127328317806965060e+04 2.301239803167413811e+01
6.127328362614390062e+04 2.297451036514215872e+01
6.130099693386059516e+04 2.289849800801863466e+01
6.130118858793187246e+04 2.307268200185378504e+01
6.130303114718888537e+04 2.321749057216398171e+01
6.130315649682795629e+04 2.294453105322708808e+01
6.130917020975193009e+04 2.266249899121527278e+01
6.130926567074203194e+04 2.214243164848777212e+01
6.131018513834101032e+04 2.187573438170808160e+01
6.131421920623959886e+04 2.234437284270241975e+01
6.133607275302376365e+04 2.280160315646703495e+01
6.133707700036901952e+04 2.307457031422659099e+01
6.133807741291538696e+04 2.277387954795590730e+01
6.134010682524467120e+04 2.297970401012445762e+01
6.136402010260998213e+04 2.289009808327314133e+01
6.151241882360090676e+04 2.272495030260233051e+01
6.151842460300357925e+04 2.256506610280718306e+01
6.160833869072089146e+04 2.257334191570625137e+01
6.166498536843276815e+04 2.240205489717512677e+01
6.192543729075253214e+04 2.286839499766294281e+01
6.193742262232076610e+04 2.285441050269115948e+01
6.193742308533838514e+04 2.285002388808965179e+01
6.195340417502308264e+04 2.299300233534927074e+01
6.195637787158166611e+04 2.263998505885007262e+01
6.196420371647353022e+04 2.256068764706094498e+01
6.196523701079899183e+04 2.262578336727187178e+01
6.196535486875766946e+04 2.237231858916608118e+01
6.196539625474750937e+04 2.232870606573849415e+01
6.198215647299757256e+04 2.292913869515008329e+01
6.198217997922893119e+04 2.298559733703174146e+01
6.199227670420409413e+04 2.245513598134251865e+01
6.199329026712055202e+04 2.221402579144109879e+01
6.199331530409515108e+04 2.252993703538945880e+01
6.201925569659759640e+04 2.253731547780471445e+01
6.201927855162162450e+04 2.231736543321442667e+01
6.201932810984945536e+04 2.166667340442606360e+01
6.202023502492118860e+04 2.252148868081959776e+01
6.202122960167648125e+04 2.266722463221377382e+01
6.202123694490697380e+04 2.267782641394253318e+01
6.202326635210512177e+04 2.227058596679163927e+01
6.204514276346434053e+04 2.243423015522139252e+01
6.204613186676972691e+04 2.264109033657132031e+01
6.204615356333853560e+04 2.245149457904780732e+01
6.204615445818933222e+04 2.243111514223253522e+01
6.204718370293033513e+04 2.180153875398939434e+01
6.204813343302464637e+04 2.268664253822254295e+01
6.204815522851559217e+04 2.290847456304329910e+01
6.205022418040689809e+04 2.236249004263953211e+01
6.207305222041733941e+04 2.276211221116230732e+01
6.207411413639898092e+04 2.225576760306232771e+01
6.207509971166167088e+04 2.251296496303776351e+01
6.210107468289673852e+04 2.253942658728680470e+01
6.225541081961082091e+04 2.252006545720861652e+01
6.240002905459177418e+04 2.198453255962700581e+01
6.267327450469484029e+04 2.218981098173309263e+01
6.267342535862720251e+04 2.220222782565715036e+01
6.267342625903372391e+04 2.217673777026072202e+01
6.269438383215296926e+04 2.267415426982632454e+01
6.270239949405426887e+04 2.213415977817284386e+01
6.270337327471883327e+04 2.237649694738108508e+01
6.272218114254029933e+04 2.303990093642310200e+01
6.272827935951689869e+04 2.265761156979539237e+01
6.272829830277596193e+04 2.229529721511154250e+01
6.273326516312369495e+04 2.204696774155431882e+01
6.273426833820289903e+04 2.310385894841522259e+01
6.273426925962821406e+04 2.307736812204239385e+01
6.273430340548307140e+04 2.281799537811025758e+01
6.274923850067823514e+04 2.256084863756784387e+01
6.275003687979668757e+04 2.259492487513350056e+01
6.275006024443443312e+04 2.241562148950275457e+01
6.278318965213587217e+04 2.240298657318417241e+01
6.278512791702854884e+04 2.175928912070436638e+01
6.278516306750218064e+04 2.207996248877700296e+01
6.278611745713058917e+04 2.253685612872591193e+01
6.278611790498547634e+04 2.251359223118828723e+01
6.281502173362820758e+04 2.273273672399064438e+01
6.281502266016688372e+04 2.271248557257258582e+01
6.281504081742321432e+04 2.247602065311831154e+01
6.281504216759539122e+04 2.244392666250813662e+01
6.281603871048858127e+04 2.314975622118757315e+01
6.282006707801944140e+04 2.255166774532612806e+01
6.282106748385323590e+04 2.250560656934445802e+01
6.296440323215723038e+04 2.226905738488300202e+01
6.299537427687823947e+04 2.298170392639375592e+01
6.299537472710330621e+04 2.298386904858627844e+01
6.302125019020106993e+04 2.258262042033842931e+01
6.304740974349886528e+04 2.236061367022381674e+01
6.304827844503659435e+04 2.285610151814089974e+01
6.307715415909978037e+04 2.292958585761359558e+01
6.307715460665681894e+04 2.291515916889972004e+01
6.307735655229126132e+04 2.252685136880504402e+01
6.307735699764559104e+04 2.254477359373690959e+01
6.308631469489124720e+04 2.201330882199295402e+01
6.310410754591892328e+04 2.322041880711929451e+01
6.311122281388092233e+04 2.221201683118810521e+01
6.311520978158732760e+04 2.258969091303051258e+01
6.314713529666939576e+04 2.243345494845971189e+01
6.314713574361860083e+04 2.240299907436710569e+01
6.331840368374565151e+04 2.190783968265162329e+01
6.332241298020444810e+04 2.258505896930649470e+01
6.332241390094248345e+04 2.254329175624232562e+01
6.340141217155293270e+04 2.314699958384247225e+01
6.341243869030826318e+04 2.218021849889245800e+01
6.341341241459191951e+04 2.242474074887572755e+01
6.341341286148692598e+04 2.239715101950012865e+01
6.343316116380273161e+04 2.193782763979935879e+01
6.345726504263586685e+04 2.299871856686556271e+01
6.346009195731281216e+04 2.313072250680949438e+01
6.346710845277940825e+04 2.187001063518798816e+01
6.348700924360990030e+04 2.274828461144173986e+01
6.349616075512130919e+04 2.252410565697243428e+01
6.349617984605402307e+04 2.270341850119597993e+01
6.349720357498311932e+04 2.256425078017654329e+01
6.352113029477886448e+04 2.231014871885852457e+01
6.352406062516826933e+04 2.297716054971618860e+01
6.352609967152002355e+04 2.302644241298221672e+01
6.370839535088161938e+04 2.243823738502047505e+01
6.373038558798063605e+04 2.301710920892575984e+01
6.376741626288035332e+04 2.312307279008609129e+01
6.376931624212997849e+04 2.320130994573541727e+01
6.378619611257539509e+04 2.289068380114355961e+01
6.378716115840538259e+04 2.233275041894235358e+01
6.379438290168020467e+04 2.257326155385258915e+01
6.379438335026637651e+04 2.254948228281281786e+01
6.379539649616079987e+04 2.250377283379481952e+01
6.381312046839988034e+04 2.292798143772192176e+01
6.382228610364410997e+04 2.252591942474741060e+01
6.382329652986705332e+04 2.256367810748693614e+01
6.382711354333096097e+04 2.324278888062608672e+01
6.382711635634583217e+04 2.316444875293417738e+01
6.385004504808754427e+04 2.248934710167069539e+01
6.385006156815050053e+04 2.254291044306643244e+01
