# JD   5-sigma-depth
6.037433804297218012e+04 2.324536192526421985e+01
6.038639404615437525e+04 2.305139341978844669e+01
6.038640524556298624e+04 2.261415875771765371e+01
6.038640569437130762e+04 2.262343254393310943e+01
6.040135281535737158e+04 2.324945428100043188e+01
6.040235729869297938e+04 2.332140247049590087e+01
6.041533727290370007e+04 2.282516196473996928e+01
6.042836130431463243e+04 2.237634516553134745e+01
6.047600633145751635e+04 2.271677307688803893e+01
6.048801666251430288e+04 2.279700651365832442e+01
6.048802003143176989e+04 2.285825937128937468e+01
6.051214392812201550e+04 2.208068199375346907e+01
6.074530780834976758e+04 2.307755153459897457e+01
6.074537311724849860e+04 2.303295971956048049e+01
6.078534329451171652e+04 2.290212906913426139e+01
6.078619872562443197e+04 2.315235116961330419e+01
6.081012459283579665e+04 2.281231955977227699e+01
6.083025823930646584e+04 2.192424504802330887e+01
6.085801046427734400e+04 2.298022611065925958e+01
6.085895269760314113e+04 2.269702447727023653e+01
6.086515841826902033e+04 2.187369183177297316e+01
6.086711022421117377e+04 2.239568597748387546e+01
6.109740058218392369e+04 2.305410589307880542e+01
6.109932974318780180e+04 2.319451569136962021e+01
6.109933072559198627e+04 2.320605365931684005e+01
6.110024929308373976e+04 2.282476044950936256e+01
6.110130282951814297e+04 2.296153887444103958e+01
6.110136814259624953e+04 2.281652766355797368e+01
6.111137045896852942e+04 2.286112605778066609e+01
6.111227665005187009e+04 2.304319011342762380e+01
6.111227709965807298e+04 2.302013406869087930e+01
6.111229025416987861e+04 2.307476700793775848e+01
6.111229119251880184e+04 2.305760847366010324e+01
6.112825132021336321e+04 2.312598873607988281e+01
6.112828603099153406e+04 2.301158523523628219e+01
6.115619263204297022e+04 2.315478510292832581e+01
6.115711394208767160e+04 2.264635457681843889e+01
6.115829127216645429e+04 2.299457383274905808e+01
6.115934438178401615e+04 2.190316620518458279e+01
6.116630384537010832e+04 2.288251834744056623e+01
6.119202139537717449e+04 2.245929733568437570e+01
6.119298604917280318e+04 2.270030992759901523e+01
6.119307960606436973e+04 2.280531914638454083e+01
6.119617706665203877e+04 2.304656503293335490e+01
6.122419698278202850e+04 2.245386621606437316e+01
6.122600047002726205e+04 2.336121668332742729e+01
6.122619436039317225e+04 2.253242416545674232e+01
6.122907557085120789e+04 2.321581106212812884e+01
6.124704304224616499e+04 2.256399728453949294e+01
6.125101002537095337e+04 2.318994241196013917e+01
6.125103456108341197e+04 2.293674038344122579e+01
6.125115141952422709e+04 2.229443391424041820e+01
6.125211028909264132e+04 2.214829577981517161e+01
6.125213045108030929e+04 2.214509756497455939e+01
6.125410880760196596e+04 2.234270676758172414e+01
6.127602113018750970e+04 2.257758798312439552e+01
6.127604764802118007e+04 2.243395835359664048e+01
6.155324903549316514e+04 2.249778794604450738e+01
6.163302977133619424e+04 2.269341794999345296e+01
6.181239125231966318e+04 2.273801466115525471e+01
6.183439646302212350e+04 2.328967137880094995e+01
6.183932537330443301e+04 2.301446067469219514e+01
6.184128072274847364e+04 2.278525209314324940e+01
6.184130111711094651e+04 2.284140258978572291e+01
6.184232136213829654e+04 2.289549124103758970e+01
6.186334880570310634e+04 2.325471403786999502e+01
6.186432373254753475e+04 2.320377709865832117e+01
6.186537209243170946e+04 2.325434810748415515e+01
6.186828930039849365e+04 2.285649957657969722e+01
6.186828971706515586e+04 2.285573944586838024e+01
6.187528677113121375e+04 2.287600223864169635e+01
6.187536726024341624e+04 2.290097700420311000e+01
6.187732227531279932e+04 2.287752249049546904e+01
6.189329180471581640e+04 2.322025970135722517e+01
6.189329271597617480e+04 2.319873190464975465e+01
6.189414846429966565e+04 2.292639332878467684e+01
6.189616399716671731e+04 2.303468385519092365e+01
6.192303104614109907e+04 2.312107229531652308e+01
6.193522013792813232e+04 2.254902086012076268e+01
6.193524338458477723e+04 2.252847608854163752e+01
6.193817912586324383e+04 2.268472670789093115e+01
6.196096347694124415e+04 2.303255239200927207e+01
6.198398536317108665e+04 2.269453331657938477e+01
6.198600806162857771e+04 2.271887492297977573e+01
6.198606996201928996e+04 2.259197402546273636e+01
6.198609096882923768e+04 2.261260334054708920e+01
6.198706761078682030e+04 2.264534924811262329e+01
6.198708779463519022e+04 2.270795146773318507e+01
6.198901276246699854e+04 2.281714734852769411e+01
6.198904502905713161e+04 2.285622684867113463e+01
6.199001511235717771e+04 2.287508584234788955e+01
6.199001556722671376e+04 2.287471194556411902e+01
6.226125408802816673e+04 2.266982654398862351e+01
6.257724188374755613e+04 2.267650722200487579e+01
6.257828244391550834e+04 2.254129877792652081e+01
6.257828754462116922e+04 2.250976002155830713e+01
6.258528836565295933e+04 2.265639889398827123e+01
6.260125464515510248e+04 2.288494294264879514e+01
6.261333726577180641e+04 2.217855921910487638e+01
6.263406076405844942e+04 2.240175183371940193e+01
6.263408475277481193e+04 2.231842732274842334e+01
6.264119460580565647e+04 2.271555779191108115e+01
6.264121047486503085e+04 2.285599624138401964e+01
6.266795413097197888e+04 2.170679978325628667e+01
6.266816222536548594e+04 2.188813119538284369e+01
6.267015474094879028e+04 2.231378379550070434e+01
6.268997946404349204e+04 2.249049413928830532e+01
6.269800339977371914e+04 2.250271967990707367e+01
6.272501708514285565e+04 2.268723117897312136e+01
6.272512571874507557e+04 2.164491285339676807e+01
6.272609253729567718e+04 2.202133811628360505e+01
6.304406064192159829e+04 2.254077338661054952e+01
6.331140340475099947e+04 2.298846892806327347e+01
6.331525367291674047e+04 2.268919953950207713e+01
6.331529472904118302e+04 2.284906251294255597e+01
6.336912938252128515e+04 2.297340303476612178e+01
6.341104431871577253e+04 2.310468905016390551e+01
6.341104482094915875e+04 2.309994591933502051e+01
6.343303296683927329e+04 2.216918501863469970e+01
6.346498616940097418e+04 2.241988418671487437e+01
6.346498661515203275e+04 2.246769092019594538e+01
6.364538632960796531e+04 2.240873445259921937e+01
6.366336327791813528e+04 2.339021043785863441e+01
6.366824846170824458e+04 2.301229469986772713e+01
6.368037702922627795e+04 2.335838359550240639e+01
6.368037747550589120e+04 2.338055735616992337e+01
6.368038574048816372e+04 2.336627664499391699e+01
6.370713782592483039e+04 2.308014411689254075e+01
6.370816890074022376e+04 2.290256795205176843e+01
6.372215324016451632e+04 2.275887845714979818e+01
6.372331924099503522e+04 2.276238215021245281e+01
6.372332013665965496e+04 2.271270401836834907e+01
6.378796510586403019e+04 2.292907268362198892e+01
6.378901208498211781e+04 2.230499170706541179e+01
6.378911385544543009e+04 2.247240015866699636e+01
6.378995606828879681e+04 2.231380386909826186e+01
6.379095605863812671e+04 2.264031293159605696e+01
6.381601113234712830e+04 2.230637022871626840e+01
6.382104992351566034e+04 2.269935717289486377e+01
