# JD   5-sigma-depth
6.027333642100400903e+04 2.223189137202289345e+01
6.027334648063722852e+04 2.237027783183502905e+01
6.027533134551372495e+04 2.202275566179451616e+01
6.027534069416402053e+04 2.202366407354778488e+01
6.030124468064191751e+04 2.221904427453311115e+01
6.030126761129104125e+04 2.233085886490487226e+01
6.030825890574564255e+04 2.208268012504081312e+01
6.031135859044543759e+04 2.211708682227763845e+01
6.032636321985996619e+04 2.216673649793225565e+01
6.033410944873719563e+04 2.212311500692910471e+01
6.033413221391547995e+04 2.233437549225926944e+01
6.033728727056104981e+04 2.216540571936734239e+01
6.033731016488002206e+04 2.191212086912014101e+01
6.036208506909566495e+04 2.221984420400195859e+01
6.036210774100204435e+04 2.221706021006312781e+01
6.038719373429001280e+04 2.218246534996944774e+01
6.039117968982690218e+04 2.192353179226272175e+01
6.039714888447503472e+04 2.217712676562114638e+01
6.039714934113753407e+04 2.217447442226036713e+01
6.039717194751752686e+04 2.202567737997009090e+01
6.039717240418002621e+04 2.202088369922266864e+01
6.042013843295044353e+04 2.169508648652209715e+01
6.042016115453091334e+04 2.149271972162571132e+01
6.042110792280632450e+04 2.154425802652894717e+01
6.042209180874178855e+04 2.216274548091352159e+01
6.042609489976343320e+04 2.175204312186865963e+01
6.067834824010174634e+04 2.220723888873086338e+01
6.067835711685263959e+04 2.179688939710704787e+01
6.069132363779168372e+04 2.217298829216442968e+01
6.069133386351412628e+04 2.207297128074262105e+01
6.071927156150711380e+04 2.156952072802459242e+01
6.071929458949500258e+04 2.152085851449893283e+01
6.075124984550320369e+04 2.200427772586719044e+01
6.080710373656576121e+04 2.152160165061685149e+01
6.080804980745957437e+04 2.178648705129137753e+01
6.080805835339386977e+04 2.179094963168632404e+01
6.101428587211411650e+04 2.230043896443136475e+01
6.101430677764097345e+04 2.234280492458876921e+01
6.107328829283997766e+04 2.219513160575500521e+01
6.107331114886190335e+04 2.200855458830817568e+01
6.111104381596196617e+04 2.231318263251974088e+01
6.137234055396469194e+04 2.239585491855091348e+01
6.137234100182246766e+04 2.237988879483832605e+01
6.139626781242444122e+04 2.258782200902275150e+01
6.139920411211359897e+04 2.190238000170442234e+01
6.139922657667175372e+04 2.205521163842920984e+01
6.139925128476396640e+04 2.211359780394710128e+01
6.141633001547994354e+04 2.248113797892651888e+01
6.141634027913684258e+04 2.261660925141079659e+01
6.142034134191668272e+04 2.230518780235181353e+01
6.142834618658440013e+04 2.194411614908084829e+01
6.142834664333159890e+04 2.205825363645247705e+01
6.144909107172683434e+04 2.219880162220644593e+01
6.144909151868276967e+04 2.216514554699037021e+01
6.145029626725237176e+04 2.223442363436630131e+01
6.145029671608814533e+04 2.226583869497755330e+01
6.145622521200455230e+04 2.175086747335723913e+01
6.145721943912672577e+04 2.211055001620108840e+01
6.145728229424361052e+04 2.195984065872946900e+01
6.148315991573569045e+04 2.223524422660459265e+01
6.148318342724128888e+04 2.222967746813489498e+01
6.148515486928154860e+04 2.199339563002886777e+01
6.148515674112718989e+04 2.198712435994490377e+01
6.148517816770177160e+04 2.222031594279862787e+01
6.148518003954741289e+04 2.220621460953254100e+01
6.148520320205199096e+04 2.207670710976847062e+01
6.148525048517930554e+04 2.152779710268086788e+01
6.151209828132846451e+04 2.211152321743037419e+01
6.151212127972349117e+04 2.209577896879625669e+01
6.151309196844791586e+04 2.214550031568463595e+01
6.152405839010085037e+04 2.194619707855618174e+01
6.153902702402412979e+04 2.200579410614490783e+01
6.153902839446275902e+04 2.214222617236366375e+01
6.154108744018265133e+04 2.139702459994690642e+01
6.177936552243408369e+04 2.209025041387794630e+01
6.184021857089497644e+04 2.199237260455447185e+01
6.189406125720894488e+04 2.205949006424626191e+01
6.189505796948294301e+04 2.214778977745211463e+01
6.189505843047145027e+04 2.212031607885815276e+01
6.213427050037423032e+04 2.225204065908695483e+01
6.215632346049453190e+04 2.217863561030561215e+01
6.215633361673383479e+04 2.221834373468287538e+01
6.216630793249948329e+04 2.196531203599305826e+01
6.216631589352921583e+04 2.202136818915561989e+01
6.216633935292105161e+04 2.192122185053923999e+01
6.218806319006878766e+04 2.157909567179659405e+01
6.218823793007799395e+04 2.230826538906650924e+01
6.218823838123163296e+04 2.232702843307121299e+01
6.219122687446806231e+04 2.168646648426758006e+01
6.219122825765611196e+04 2.162958316575531370e+01
6.219124984306239639e+04 2.154509349192706935e+01
6.219125122625044605e+04 2.151532621546726176e+01
6.219625227159447968e+04 2.183550002613425534e+01
6.219625543172170001e+04 2.195619445486558519e+01
6.219627525820153824e+04 2.187069285869153035e+01
6.219627841771295061e+04 2.187640615535341482e+01
6.221599294756487507e+04 2.123912254216630657e+01
6.221600235690086993e+04 2.174962586967803446e+01
6.222122006881248672e+04 2.187352045460553640e+01
6.222122231609636219e+04 2.190283646382059501e+01
6.222525162574432034e+04 2.105259490115230747e+01
6.222525386423397867e+04 2.104072930792531082e+01
6.222816098162230628e+04 2.227893153718771657e+01
6.224910086704656715e+04 2.206830692727427490e+01
6.225211295206262002e+04 2.157122286863258864e+01
6.225517422824534151e+04 2.129225835508225728e+01
6.251836274640722695e+04 2.165805919537927338e+01
6.251933405309433874e+04 2.153545737837120200e+01
6.251933450075986912e+04 2.134408138189957427e+01
6.251934420834864432e+04 2.104261113996665600e+01
6.251934465502492094e+04 2.118676774972539789e+01
6.252537649502844579e+04 2.117079954082926463e+01
6.254727767670087633e+04 2.190267248081183737e+01
6.254730058699232904e+04 2.200143581624791622e+01
6.254926947061521059e+04 2.181056818305956568e+01
6.254926992025998334e+04 2.192303782952239999e+01
6.255125002272559504e+04 2.139733265267334517e+01
6.257716191944592720e+04 2.186504922695548103e+01
6.257718472150774323e+04 2.195362442742538889e+01
6.284931169954537472e+04 2.234935158804501754e+01
