# JD   5-sigma-depth
6.023532619541064196e+04 2.231819311668473205e+01
6.023533652822658041e+04 2.231775030220759248e+01
6.024424885208436172e+04 2.215046414702051791e+01
6.024427190176808654e+04 2.228695143983480875e+01
6.024722937490329059e+04 2.202174937088429374e+01
6.027014983010316791e+04 2.220068630941884535e+01
6.027015074165449914e+04 2.223820513360649542e+01
6.027112087263022113e+04 2.225721787135113772e+01
6.029804706624979008e+04 2.248762410596008365e+01
6.029804797233727004e+04 2.245692399498076242e+01
6.030312575904694677e+04 2.238766804349720729e+01
6.033310264540291246e+04 2.224823889408246913e+01
6.033312567680455686e+04 2.217078995813334785e+01
6.035811272685715085e+04 2.197968220346144363e+01
6.057334121155270259e+04 2.208774819713889670e+01
6.057334212573688274e+04 2.206116377557288288e+01
6.059837225933343871e+04 2.220160292058844931e+01
6.059929972311042366e+04 2.182977567231492344e+01
6.062725607605125697e+04 2.220218222994050450e+01
6.062725653984757810e+04 2.219986329475933573e+01
6.062727951833559928e+04 2.237098726774190283e+01
6.062727998167327314e+04 2.240049644761072756e+01
6.065634660038835136e+04 2.139689820039464507e+01
6.065817987512265245e+04 2.219331264508955215e+01
6.065824660390116333e+04 2.177132160910689151e+01
6.065824704940134689e+04 2.179220037778397767e+01
6.065826936679614300e+04 2.197924521198710579e+01
6.065826981233405240e+04 2.196170452339340784e+01
6.068406404196559015e+04 2.166261116504682604e+01
6.068408729664288694e+04 2.196763135051160631e+01
6.068718453084764042e+04 2.216403997163406814e+01
6.071807373229839868e+04 2.214748256948512406e+01
6.092534672866529581e+04 2.208064691262943668e+01
6.092536868080159184e+04 2.214585813533268066e+01
6.105904428732647648e+04 2.206467646380456671e+01
6.105905582299961679e+04 2.227331051551619012e+01
6.130930221367160266e+04 2.225063648243201797e+01
6.133234050000568095e+04 2.179912024898935741e+01
6.133823000502633658e+04 2.207697465138098636e+01
6.133823182123961305e+04 2.206584676680914470e+01
6.133824483435736329e+04 2.205839384417497229e+01
6.133826806480657251e+04 2.210285772943194615e+01
6.136220521159643249e+04 2.232565321009301584e+01
6.136409384095527639e+04 2.211843457307219651e+01
6.136411750456598384e+04 2.212582576001176804e+01
6.136519974654177349e+04 2.243216867131280168e+01
6.136921780061731261e+04 2.204929397198533536e+01
6.136923955271120212e+04 2.216443163489745771e+01
6.136924096136067237e+04 2.218683756536057317e+01
6.136926331008745183e+04 2.218730324207877302e+01
6.136928679049811763e+04 2.214134576719337844e+01
6.139518803053125885e+04 2.199318660417435822e+01
6.139521137303523574e+04 2.200255785227530225e+01
6.141204513089344255e+04 2.161607490745490168e+01
6.141205707426921435e+04 2.193927018460927414e+01
6.144302776862293831e+04 2.154559083588367585e+01
6.144303832742756640e+04 2.178360442926656049e+01
6.145708466747125931e+04 2.191732802666635394e+01
6.145710740384535893e+04 2.189929383969195342e+01
6.172223094515185949e+04 2.205065471197114135e+01
6.177815008294916333e+04 2.190464079387804830e+01
6.204527832985941495e+04 2.221346121402310914e+01
6.204530147038356517e+04 2.192573964906694073e+01
6.204937936972780881e+04 2.176075584233554139e+01
6.207223638587585447e+04 2.223796192586415543e+01
6.207516515358217293e+04 2.200808130171859034e+01
6.207518822962696868e+04 2.182371621524019289e+01
6.207520360138601245e+04 2.182509688070071263e+01
6.207522675248996529e+04 2.210457548470701994e+01
6.209929104792726866e+04 2.215457674909108476e+01
6.210120439908812114e+04 2.212537446762991777e+01
6.210120485851311241e+04 2.210103817679030414e+01
6.210322535486646666e+04 2.218931803587574336e+01
6.210324882748124946e+04 2.211143728148657317e+01
6.210622421850789397e+04 2.172908483239339361e+01
6.210624726342700160e+04 2.165583450800987819e+01
6.213011665821097995e+04 2.163636098337142855e+01
6.213013984458833147e+04 2.193057342397089826e+01
6.213205198431660392e+04 2.207968703002255495e+01
6.213313569622621435e+04 2.204166993627855931e+01
6.213313704663373937e+04 2.201524661731349397e+01
6.213415985254653060e+04 2.198342029734613234e+01
6.213418274870967434e+04 2.200792711683011049e+01
6.213623400755788316e+04 2.185438315958370481e+01
6.216413243599110865e+04 2.151679432791317126e+01
6.216620027672062133e+04 2.140845429066501637e+01
6.216622347030042147e+04 2.117850417446251043e+01
6.218402377995751158e+04 2.212322387728290707e+01
6.218403483839389082e+04 2.206311393904817209e+01
6.218704709662968526e+04 2.177389134637070711e+01
6.218704754697019234e+04 2.182321904985307626e+01
6.218707011688518833e+04 2.199924761712890842e+01
6.218707056722569541e+04 2.204529339172390223e+01
6.219111919863247749e+04 2.095647737880901218e+01
6.248820808549369394e+04 2.200786109679198077e+01
6.248823162492866686e+04 2.203180965240913025e+01
6.249211989016435837e+04 2.216620011593720463e+01
6.251824465527323628e+04 2.115131210535776063e+01
6.251826759190551093e+04 2.127765066855796050e+01
6.275631763988661987e+04 2.206108576320687220e+01
6.275637147161505709e+04 2.208284744942812594e+01
6.275637284942855331e+04 2.207236841640268565e+01
6.278129326295818464e+04 2.217256664925141862e+01
6.278129608582586661e+04 2.219166669806416081e+01
6.278331997571325337e+04 2.202655361886196772e+01
6.278334087454797555e+04 2.204130686609750001e+01
6.281521904540283140e+04 2.203799238554786299e+01
6.281524241468287801e+04 2.225957082674713661e+01
6.283610157429391984e+04 2.178240023744426068e+01
6.283612497566358797e+04 2.186024789690259595e+01
6.283922722684087785e+04 2.217231945016523298e+01
6.283925049689605657e+04 2.228329608537315210e+01
6.284524529027601966e+04 2.175625153818682378e+01
6.284526819751187577e+04 2.165113866148961819e+01
