# JD   5-sigma-depth
6.021937835086658015e+04 2.175086787695391877e+01
6.021938907354463299e+04 2.131400963078957034e+01
6.023932322917632700e+04 2.217288624149926690e+01
6.023932471271995018e+04 2.217349256499879218e+01
6.023933491846156539e+04 2.212151692966421024e+01
6.024434635004193115e+04 2.203032802042592309e+01
6.027014705158707511e+04 2.191990151912399298e+01
6.027019683557331155e+04 2.166180973114508745e+01
6.027314982644217525e+04 2.211954674484478289e+01
6.027932553912453295e+04 2.201177936383759715e+01
6.030311689909717097e+04 2.202827682203488990e+01
6.030311734810074267e+04 2.203116303848554836e+01
6.030314028034872899e+04 2.208598924968407573e+01
6.030314072931169358e+04 2.213889823887115327e+01
6.032715979158740811e+04 2.210363604887494304e+01
6.032718292999096593e+04 2.194709343750558261e+01
6.033311646509401180e+04 2.204404950031301880e+01
6.033313948721352062e+04 2.206324406152046080e+01
6.035710242946069047e+04 2.202107620599403504e+01
6.035712547958183131e+04 2.204766568734661902e+01
6.039610694258740841e+04 2.150698364199797297e+01
6.039610784967280051e+04 2.136325170116646177e+01
6.039612986201986496e+04 2.165747295243338755e+01
6.039613076939944585e+04 2.123177299943940355e+01
6.059928220380977291e+04 2.149603822553268628e+01
6.059930537407418888e+04 2.167610782511052037e+01
6.062828771195656736e+04 2.213476765584273309e+01
6.065620763735342916e+04 2.201744030064040913e+01
6.065634108557461877e+04 2.153226155689570476e+01
6.065827497278337250e+04 2.194789870779130680e+01
6.065829475543809531e+04 2.195871942727869097e+01
6.068515098555244913e+04 2.180339782020156747e+01
6.068517451747677842e+04 2.183284130358373076e+01
6.068922545257132151e+04 2.190159352659446412e+01
6.068922737706259068e+04 2.182263015338930501e+01
6.071721096381179814e+04 2.185146562139278359e+01
6.071922037842756254e+04 2.136421533193728806e+01
6.071924303913860786e+04 2.118340367794129264e+01
6.080698880892628949e+04 2.144052612448843576e+01
6.080701154680785112e+04 2.151099248011378506e+01
6.105903924591323448e+04 2.107390692882231775e+01
6.105905078219038114e+04 2.186716162503815752e+01
6.107106962150608160e+04 2.171134947916527835e+01
6.107109314454557170e+04 2.189899913335538884e+01
6.107416036201169482e+04 2.165641966178987943e+01
6.133336335006832815e+04 2.182540490315552262e+01
6.133823879299265536e+04 2.184284907174969348e+01
6.133823928584309760e+04 2.184367877188155305e+01
6.133826251419754408e+04 2.189893930681697043e+01
